0 106.4445 129.3486 155.8298 138.794 97.99185 121.1692 165.9511 125.7048 182.6044 141.6669 144.5545
106.4445 0 27.49236 166.4612 38.22052 180.0545 18.96333 77.06562 167.8572 112.2782 150.8068 125.2208
129.3486 27.49236 0 191.1884 40.80206 207.1504 30.46486 81.24288 194.9176 122.0123 175.809 147.5363
155.8298 166.4612 191.1884 0 162.4024 114.5976 161.7518 148.8141 49.28282 123.2881 16.03263 50.15794
138.794 38.22052 40.80206 162.4024 0 199.6116 19.39278 41.01908 174.8972 81.2336 148.0442 115.0725
97.99185 180.0545 207.1504 114.5976 199.6116 0 187.6298 209.769 65.76896 205.7093 108.9002 137.6445
121.1692 18.96333 30.46486 161.7518 19.39278 187.6298 0 58.41605 168.7217 95.3713 146.6142 117.2335
165.9511 77.06562 81.24288 148.8141 41.01908 209.769 58.41605 0 172.513 43.30816 136.8107 98.69555
125.7048 167.8572 194.9176 49.28282 174.8972 65.76896 168.7217 172.513 0 157.1417 46.67411 82.70967
182.6044 112.2782 122.0123 123.2881 81.2336 205.7093 95.3713 43.30816 157.1417 0 114.6676 75.26375
141.6669 150.8068 175.809 16.03263 148.0442 108.9002 146.6142 136.8107 46.67411 114.6676 0 39.5506
144.5545 125.2208 147.5363 50.15794 115.0725 137.6445 117.2335 98.69555 82.70967 75.26375 39.5506 0
