0 105.2715 121.9555 151.6673 110.6265 140.5169 144.2649 165.3202 182.7301
105.2715 0 20.48803 174.9121 15.1523 46.8078 56.72197 81.25225 121.8557
121.9555 20.48803 0 173.2067 11.73806 26.90643 37.83024 61.96021 105.6105
151.6673 174.9121 173.2067 0 165.0234 166.1157 157.9978 158.4028 128.7375
110.6265 15.1523 11.73806 165.0234 0 33.56161 42.37924 66.95091 106.7034
140.5169 46.8078 26.90643 166.1157 33.56161 0 12.24644 35.19561 81.42707
144.2649 56.72197 37.83024 157.9978 42.37924 12.24644 0 24.57691 69.19318
165.3202 81.25225 61.96021 158.4028 66.95091 35.19561 24.57691 0 50.56892
182.7301 121.8557 105.6105 128.7375 106.7034 81.42707 69.19318 50.56892 0
0 105.2715 121.9555 151.6673 110.6265 140.5169 144.2649 165.3202 182.7301
105.2715 0 20.48803 174.9121 15.1523 46.8078 56.72197 81.25225 121.8557
121.9555 20.48803 0 173.2067 11.73806 26.90643 37.83024 61.96021 105.6105
151.6673 174.9121 173.2067 0 165.0234 166.1157 157.9978 158.4028 128.7375
110.6265 15.1523 11.73806 165.0234 0 33.56161 42.37924 66.95091 106.7034
140.5169 46.8078 26.90643 166.1157 33.56161 0 12.24644 35.19561 81.42707
144.2649 56.72197 37.83024 157.9978 42.37924 12.24644 0 24.57691 69.19318
165.3202 81.25225 61.96021 158.4028 66.95091 35.19561 24.57691 0 50.56892
182.7301 121.8557 105.6105 128.7375 106.7034 81.42707 69.19318 50.56892 0
0 105.2715 121.9555 151.6673 110.6265 140.5169 144.2649 165.3202 182.7301
105.2715 0 20.48803 174.9121 15.1523 46.8078 56.72197 81.25225 121.8557
121.9555 20.48803 0 173.2067 11.73806 26.90643 37.83024 61.96021 105.6105
151.6673 174.9121 173.2067 0 165.0234 166.1157 157.9978 158.4028 128.7375
110.6265 15.1523 11.73806 165.0234 0 33.56161 42.37924 66.95091 106.7034
140.5169 46.8078 26.90643 166.1157 33.56161 0 12.24644 35.19561 81.42707
144.2649 56.72197 37.83024 157.9978 42.37924 12.24644 0 24.57691 69.19318
165.3202 81.25225 61.96021 158.4028 66.95091 35.19561 24.57691 0 50.56892
182.7301 121.8557 105.6105 128.7375 106.7034 81.42707 69.19318 50.56892 0
0 105.2715 121.9555 151.6673 110.6265 140.5169 144.2649 165.3202 182.7301
105.2715 0 20.48803 174.9121 15.1523 46.8078 56.72197 81.25225 121.8557
121.9555 20.48803 0 173.2067 11.73806 26.90643 37.83024 61.96021 105.6105
151.6673 174.9121 173.2067 0 165.0234 166.1157 157.9978 158.4028 128.7375
110.6265 15.1523 11.73806 165.0234 0 33.56161 42.37924 66.95091 106.7034
140.5169 46.8078 26.90643 166.1157 33.56161 0 12.24644 35.19561 81.42707
144.2649 56.72197 37.83024 157.9978 42.37924 12.24644 0 24.57691 69.19318
165.3202 81.25225 61.96021 158.4028 66.95091 35.19561 24.57691 0 50.56892
182.7301 121.8557 105.6105 128.7375 106.7034 81.42707 69.19318 50.56892 0
0 105.2715 121.9555 151.6673 110.6265 140.5169 144.2649 165.3202 182.7301
105.2715 0 20.48803 174.9121 15.1523 46.8078 56.72197 81.25225 121.8557
121.9555 20.48803 0 173.2067 11.73806 26.90643 37.83024 61.96021 105.6105
151.6673 174.9121 173.2067 0 165.0234 166.1157 157.9978 158.4028 128.7375
110.6265 15.1523 11.73806 165.0234 0 33.56161 42.37924 66.95091 106.7034
140.5169 46.8078 26.90643 166.1157 33.56161 0 12.24644 35.19561 81.42707
144.2649 56.72197 37.83024 157.9978 42.37924 12.24644 0 24.57691 69.19318
165.3202 81.25225 61.96021 158.4028 66.95091 35.19561 24.57691 0 50.56892
182.7301 121.8557 105.6105 128.7375 106.7034 81.42707 69.19318 50.56892 0
0 105.2715 121.9555 151.6673 110.6265 140.5169 144.2649 165.3202 182.7301
105.2715 0 20.48803 174.9121 15.1523 46.8078 56.72197 81.25225 121.8557
121.9555 20.48803 0 173.2067 11.73806 26.90643 37.83024 61.96021 105.6105
151.6673 174.9121 173.2067 0 165.0234 166.1157 157.9978 158.4028 128.7375
110.6265 15.1523 11.73806 165.0234 0 33.56161 42.37924 66.95091 106.7034
140.5169 46.8078 26.90643 166.1157 33.56161 0 12.24644 35.19561 81.42707
144.2649 56.72197 37.83024 157.9978 42.37924 12.24644 0 24.57691 69.19318
165.3202 81.25225 61.96021 158.4028 66.95091 35.19561 24.57691 0 50.56892
182.7301 121.8557 105.6105 128.7375 106.7034 81.42707 69.19318 50.56892 0
