0 114.3614 112.6947 114.1649 132.4062 137.8001
114.3614 0 2.236068 9.486833 227.2664 240.4704
112.6947 2.236068 0 8.062258 226.3736 239.3846
114.1649 9.486833 8.062258 0 230.8679 243.2118
132.4062 227.2664 226.3736 230.8679 0 26
137.8001 240.4704 239.3846 243.2118 26 0
0 114.3614 112.6947 114.1649 132.4062 137.8001
114.3614 0 2.236068 9.486833 227.2664 240.4704
112.6947 2.236068 0 8.062258 226.3736 239.3846
114.1649 9.486833 8.062258 0 230.8679 243.2118
132.4062 227.2664 226.3736 230.8679 0 26
137.8001 240.4704 239.3846 243.2118 26 0
0 114.3614 112.6947 114.1649 132.4062 137.8001
114.3614 0 2.236068 9.486833 227.2664 240.4704
112.6947 2.236068 0 8.062258 226.3736 239.3846
114.1649 9.486833 8.062258 0 230.8679 243.2118
132.4062 227.2664 226.3736 230.8679 0 26
137.8001 240.4704 239.3846 243.2118 26 0
0 114.3614 112.6947 114.1649 132.4062 137.8001
114.3614 0 2.236068 9.486833 227.2664 240.4704
112.6947 2.236068 0 8.062258 226.3736 239.3846
114.1649 9.486833 8.062258 0 230.8679 243.2118
132.4062 227.2664 226.3736 230.8679 0 26
137.8001 240.4704 239.3846 243.2118 26 0
0 114.3614 112.6947 114.1649 132.4062 137.8001
114.3614 0 2.236068 9.486833 227.2664 240.4704
112.6947 2.236068 0 8.062258 226.3736 239.3846
114.1649 9.486833 8.062258 0 230.8679 243.2118
132.4062 227.2664 226.3736 230.8679 0 26
137.8001 240.4704 239.3846 243.2118 26 0
0 114.3614 112.6947 114.1649 132.4062 137.8001
114.3614 0 2.236068 9.486833 227.2664 240.4704
112.6947 2.236068 0 8.062258 226.3736 239.3846
114.1649 9.486833 8.062258 0 230.8679 243.2118
132.4062 227.2664 226.3736 230.8679 0 26
137.8001 240.4704 239.3846 243.2118 26 0
