0 3.605551 4.472136 9.900284 20.22436 93.39622 33.51266 48.25583 52.85121 64.2067 131.408 126.6694 150.1915 102.7891 88.91257 132.272 136.8622 138.811 143.7969 141.23 146.9923 153.7015 138.0507 150.3479 158.093 154.365 152.4729 166.8394 169.5068 174.0727
3.605551 0 2.236068 6.305999 16.70676 95.60937 29.99299 44.71158 49.30771 60.61765 133.5442 128.6222 150.498 99.25277 85.40752 128.8972 137.5327 139.3646 144.2982 138.0205 143.8539 153.3715 136.4734 147.3516 155.179 152.6921 150.7481 164.1183 166.76 171.8072
4.472136 2.236068 0 6.206096 17.11797 94.06551 30.31347 44.91798 49.5101 60.60116 131.9472 126.9327 148.3174 98.56332 84.6332 127.8622 135.4151 137.2243 142.1482 136.7641 142.5204 151.1377 134.3503 145.8852 153.6456 150.5918 148.6607 162.4494 165.1077 169.9013
9.900284 6.305999 6.206096 0 10.97495 99.18893 24.11523 38.71309 43.30578 54.44851 136.9245 131.6807 150.6172 92.98087 79.17045 122.8231 138.3099 139.9335 144.7678 132.1848 138.1246 152.3747 133.3408 141.842 149.7966 149.3773 147.3466 159.0419 161.641 167.4768
20.22436 16.70676 17.11797 10.97495 0 109.3683 13.28918 28.04079 32.63437 44.15342 146.8933 141.381 156.8767 84.46871 71.05983 115.5836 145.4913 146.8378 151.525 125.9783 132.3057 156.9658 134.2065 136.7741 145.1122 149.7999 147.5975 155.2375 157.7082 165.5818
93.39622 95.60937 94.06551 99.18893 109.3683 0 120.6604 132.9015 136.9982 144.6415 38.09417 34.5417 87.74887 166.4023 152.6676 182.4979 68.40899 72.74351 77.92686 182.6249 184.6113 106.4046 127.7535 181.8903 185.4417 143.0848 143.0586 186.0248 189.2341 177.1212
33.51266 29.99299 30.31347 24.11523 13.28918 120.6604 0 14.78931 19.37267 31.14332 157.7644 151.8584 162.6695 73.08802 60.27542 105.4265 152.5256 153.5078 157.9819 116.9305 123.6642 160.6553 133.4976 128.9718 137.7051 148.4294 146.0356 148.7979 151.1058 161.3335
48.25583 44.71158 44.91798 38.71309 28.04079 132.9015 14.78931 0 4.596194 16.63205 169.4154 163.0947 168.7727 60.39105 48.60627 93.94794 160.0363 160.6195 164.8346 106.6866 113.8467 164.4821 132.7276 120.0984 129.2236 146.7618 144.1757 141.3532 143.4574 156.3047
52.85121 49.30771 49.5101 43.30578 32.63437 136.9982 19.37267 4.596194 0 12.41974 173.3488 166.9277 171.2246 56.90227 45.65115 90.86073 162.8895 163.3623 167.5008 104.0422 111.3442 166.2879 133.2151 117.9248 127.1704 146.937 144.2957 139.639 141.6691 155.3788
64.2067 60.61765 60.60116 54.44851 44.15342 144.6415 31.14332 16.63205 12.41974 0 180.1897 173.3672 172.8307 44.9915 34.7507 79.42196 165.8109 165.9217 169.7983 93.30277 100.8376 165.96 129.4005 108.0185 117.4712 142.2488 139.4794 130.5898 132.4615 148.0005
131.408 133.5442 131.9472 136.9245 146.8933 38.09417 157.7644 169.4154 173.3488 180.1897 0 9.373279 78.56885 197.7426 184.6213 209.7134 59.95676 64.86765 68.6183 207.306 208.0557 103.4209 139.5405 203.5984 205.5928 152.5597 153.3103 203.3892 206.5913 189.2102
126.6694 128.6222 126.9327 131.6807 141.381 34.5417 151.8584 163.0947 166.9277 173.3672 9.373279 0 70.57936 189.6543 176.6897 200.9544 51.56407 56.48849 60.50384 198.2919 198.9445 94.86064 130.1841 194.3835 196.3056 143.272 143.9986 194.0297 197.231 179.8729
150.1915 150.498 148.3174 150.6172 156.8767 87.74887 162.6695 168.7727 171.2246 172.8307 78.56885 70.57936 0 171.5719 161.9957 170.3245 19.67292 15.04348 10.18022 161.9083 159.8056 27.01414 77.45699 152.0411 150.7913 85.142 86.92301 143.7174 146.6862 122.4027
102.7891 99.25277 98.56332 92.98087 84.46871 166.4023 73.08802 60.39105 56.90227 44.9915 197.7426 189.6543 171.5719 0 14.36891 35.00224 169.6187 168.4178 171.1739 50.63657 58.72319 158.0096 110.8224 67.72138 77.58036 119.5814 116.4943 92.52709 93.80389 115.2293
88.91257 85.40752 84.6332 79.17045 71.05983 152.6676 60.27542 48.60627 45.65115 34.7507 184.6213 176.6897 161.9957 14.36891 0 45.36107 158.848 157.9312 160.9618 58.56422 66.09271 150.128 105.9061 73.53193 83.11878 116.3481 113.3554 96.84306 98.52806 116.5822
132.272 128.8972 127.8622 122.8231 115.5836 182.4979 105.4265 93.94794 90.86073 79.42196 209.7134 200.9544 170.3245 35.00224 45.36107 0 172.3977 170.247 172.0028 17.78207 25.99901 152.1043 99.33678 36.86368 46.48932 103.4785 100.3473 62.65678 63.2237 89.6088
136.8622 137.5327 135.4151 138.3099 145.4913 68.40899 152.5256 160.0363 162.8895 165.8109 59.95676 51.56407 19.67292 169.6187 158.848 172.3977 0 4.924429 9.573827 165.8524 164.7057 43.50748 86.31483 158.0166 157.9491 96.75642 98.05738 152.6783 155.7716 134.1802
138.811 139.3646 137.2243 139.9335 146.8378 72.74351 153.5078 160.6195 163.3623 165.9217 64.86765 56.48849 15.04348 168.4178 157.9312 170.247 4.924429 0 5.376631 163.2786 161.9252 38.63413 82.59843 155.0032 154.6958 92.5998 93.98138 149.0694 152.1427 130.0519
143.7969 144.2982 142.1482 144.7678 151.525 77.92686 157.9819 164.8346 167.5008 169.7983 68.6183 60.50384 10.18022 171.1739 160.9618 172.0028 9.573827 5.376631 0 164.5336 162.9173 35.58742 82.34844 155.6894 155.0414 91.50286 93.04289 148.8732 151.9104 128.9474
