0 43.97833 99.72323 112.375 131.3403 143.0688 61.01003 142.3472 84.58428 170.247 180.9 89.87059 198.2336 124.4689 126.1483 199.3474 206.2765 153.7417 208.6598 211.923 179.6351 172.7755 215.0962 211.8815
43.97833 0 126.5983 137.8754 155.6714 164.71 49.81334 111.1229 45.89024 185.6508 194.3599 54.54205 207.1581 91.91068 92.86698 205.2473 207.8651 129.4588 207.8953 209.1087 164.2764 148.8295 208.951 197.86
99.72323 126.5983 0 12.94579 31.95135 45.20807 91.80595 159.1331 139.4915 77.83315 90.29424 135.5323 112.9712 150.174 153.0555 119.0735 133.0561 150.1185 139.6729 146.5759 147.8827 163.2483 156.1573 170.7268
112.375 137.8754 12.94579 0 19.04542 32.39206 100.6401 163.0103 148.1618 65.84083 78.50928 143.4333 101.9142 155.4052 158.337 108.8501 123.8768 151.6133 131.1207 138.5256 145.3212 163.5252 149.0063 166.1377
131.3403 155.6714 31.95135 19.04542 0 14.92001 116.1727 172.0532 163.1649 50.25491 63.20519 157.5877 87.93646 166.2481 169.2185 96.51949 113.3651 157.5874 121.6713 129.8828 145.5415 167.667 141.8047 162.9597
143.0688 164.71 45.20807 32.39206 14.92001 0 122.5848 171.6306 168.5661 35.43683 48.39597 162.1134 73.38015 167.4761 170.4575 82.51116 100.0598 154.7386 108.8335 117.4074 138.4798 163.2867 130.0331 153.4593
61.01003 49.81334 91.80595 100.6401 116.1727 122.5848 0 85.17688 47.68567 139.0968 146.815 44.66104 158.0867 69.56706 71.88164 155.6592 158.0608 93.02742 158.2442 159.7505 119.782 111.9011 160.3781 152.714
142.3472 111.1229 159.1331 163.0103 172.0532 171.6306 85.17688 0 67.13983 170.8945 172.4502 56.79191 170.7688 19.39089 19.13831 161.6291 152.9449 31.05819 147.1862 143.194 77.89066 45.77801 135.1427 108.0161
84.58428 45.89024 139.4915 148.1618 163.1649 168.5661 47.68567 67.13983 0 181.3483 187.4814 11.78511 194.8632 47.75982 48.21364 189.9403 188.1168 89.87213 185.8427 185.0344 130.6423 108.6856 181.7552 164.0582
170.247 185.6508 77.83315 65.84083 50.25491 35.43683 139.0968 170.8945 181.3483 0 12.95914 173.104 38.30594 170.75 173.6663 48.84936 68.10152 148.7377 78.01749 87.41253 122.5083 153.2188 101.687 130.6085
180.9 194.3599 90.29424 78.50928 63.20519 48.39597 146.815 172.4502 187.4814 12.95914 0 178.7141 25.72807 173.7437 176.6074 37.36689 57.44136 148.6047 67.88226 77.5963 118.7878 151.4501 92.54766 123.7393
89.87059 54.54205 135.5323 143.4333 157.5877 162.1134 44.66104 56.79191 11.78511 173.104 178.7141 0 185.1288 37.45961 38.32754 179.7635 177.3388 78.31064 174.7975 173.7781 118.8635 97.24711 170.2334 152.2731
198.2336 207.1581 112.9712 101.9142 87.93646 73.38015 158.0867 170.7688 194.8632 38.30594 25.72807 185.1288 0 174.9177 177.6297 14.13276 34.70028 144.0361 45.80897 55.82891 107.9114 143.5915 71.68864 106.5362
124.4689 91.91068 150.174 155.4052 166.2481 167.4761 69.56706 19.39089 47.75982 170.75 173.7437 37.45961 174.9177 0 2.981424 167.0351 160.5426 45.45327 155.9133 152.9911 90.83228 62.84019 146.5625 122.7377
126.1483 92.86698 153.0555 158.337 169.2185 170.4575 71.88164 19.13831 48.21364 173.6663 176.6074 38.32754 177.6297 2.981424 0 169.6568 162.9772 46.73566 158.2335 155.1918 92.538 63.65532 148.5558 124.1788
199.3474 205.2473 119.0735 108.8501 96.51949 82.51116 155.6592 161.6291 189.9403 48.84936 37.36689 179.7635 14.13276 167.0351 169.6568 0 20.7012 133.8847 31.73348 41.74206 95.7111 132.1662 57.55978 92.66641
206.2765 207.8651 133.0561 123.8768 113.3651 100.0598 158.0608 152.9449 188.1168 68.10152 57.44136 177.3388 34.70028 160.5426 162.9772 20.7012 0 123.6302 11.17811 21.18937 81.68768 119.3253 37.23077 73.89878
153.7417 129.4588 150.1185 151.6133 157.5874 154.7386 93.02742 31.05819 89.87213 148.7377 148.6047 78.31064 144.0361 45.45327 46.73566 133.8847 123.6302 0 117.2275 112.734 46.83307 19.39645 104.193 77.50726
208.6598 207.8953 139.6729 131.1207 121.6713 108.8335 158.2442 147.1862 185.8427 78.01749 67.88226 174.7975 45.80897 155.9133 158.2335 31.73348 11.17811 117.2275 0 10.02343 73.61788 111.551 26.0631 63.27151
211.923 209.1087 146.5759 138.5256 129.8828 117.4074 159.7505 143.194 185.0344 87.41253 77.5963 173.7781 55.82891 152.9911 155.1918 41.74206 21.18937 112.734 10.02343 0 67.70142 105.6538 16.15547 54.22364
179.6351 164.2764 147.8827 145.3212 145.5415 138.4798 119.782 77.89066 130.6423 122.5083 118.7878 118.8635 107.9114 90.83228 92.538 95.7111 81.68768 46.83307 73.61788 67.70142 0 37.98396 57.68263 33.66588
172.7755 148.8295 163.2483 163.5252 167.667 163.2867 111.9011 45.77801 108.6856 153.2188 151.4501 97.24711 143.5915 62.84019 63.65532 132.1662 119.3253 19.39645 111.551 105.6538 37.98396 0 94.92838 63.47232
215.0962 208.951 156.1573 149.0063 141.8047 130.0331 160.3781 135.1427 181.7552 101.687 92.54766 170.2334 71.68864 146.5625 148.5558 57.55978 37.23077 104.193 26.0631 16.15547 57.68263 94.92838 0 39.01409
211.8815 197.86 170.7268 166.1377 162.9597 153.4593 152.714 108.0161 164.0582 130.6085 123.7393 152.2731 106.5362 122.7377 124.1788 92.66641 73.89878 77.50726 63.27151 54.22364 33.66588 63.47232 39.01409 0
