36.81818 68.09091
97 207.25
102.7537 222.7015
123.5758 94.74814
104 134
107.0526 121.1579
108.5 129.5
108.25 240
112 131.6
113 61
120.3056 245.75
125 60
134.1538 63.53846
179.7607 79.22822
153.8947 84.78947
153.3846 247.8462
155.2857 256.4286
160.5 86.5
160 255
161 258
164 88
170.5 264
174 261.8333
196.6771 265.3542
188 93
242.3161 122.068
217 103.5
230.8267 248.2475
223.5 146
226.7692 146.8462
225 155.5
226 160
226 172
227 246
236.1698 173.8679
251.9737 233.2632
256.125 160.875
263.8654 199.2065
