0 87.43657 87.26205 156.8343 161.1784 127.417 158.2913 119.9593 143.5084 142.8172 145.9223 148.2129 191.1513
87.43657 0 3.131382 140.8262 213.2934 191.0806 214.2808 84.39355 142.8597 137.2306 149.8176 154.0917 161.9514
87.26205 3.131382 0 137.6979 210.9959 189.1889 212.0901 81.26593 139.8123 134.1525 146.801 151.0879 158.8649
156.8343 140.8262 137.6979 0 138.991 147.3898 146.5375 57.30991 26.42114 19.63349 33.85933 37.68116 38.24186
161.1784 213.2934 210.9959 138.991 0 41.45216 10.46491 165.1662 113.0902 121.2914 105.1332 101.4523 171.2211
127.417 191.0806 189.1889 147.3898 41.45216 0 34.28638 158.8535 121.1475 127.9514 115.1848 112.8874 183.7391
158.2913 214.2808 212.0901 146.5375 10.46491 34.28638 0 169.9022 120.3807 128.39 112.7178 109.252 179.6176
119.9593 84.39355 81.26593 57.30991 165.1662 158.8535 169.9022 0 65.89206 58.35209 74.42614 79.21609 78.81109
143.5084 142.8597 139.8123 26.42114 113.0902 121.1475 120.3807 65.89206 0 8.66325 9.018591 13.79659 63.02118
142.8172 137.2306 134.1525 19.63349 121.2914 127.9514 128.39 58.35209 8.66325 0 17.64405 22.36068 57.55432
145.9223 149.8176 146.801 33.85933 105.1332 115.1848 112.7178 74.42614 9.018591 17.64405 0 4.828302 68.56429
148.2129 154.0917 151.0879 37.68116 101.4523 112.8874 109.252 79.21609 13.79659 22.36068 4.828302 0 71.15125
191.1513 161.9514 158.8649 38.24186 171.2211 183.7391 179.6176 78.81109 63.02118 57.55432 68.56429 71.15125 0
