0 92.44693 52.35155 61.14759 92.38405 97.51293 106.4173 136.1987 112.0045 129.5847 120.1505 150.1245 129.258 155.4239 141.7323 164.2319 155.448 138.492 172.4142 175.499 179.069 177.446 174.0314
92.44693 0 144.0979 153.5833 16.96171 22.57688 48.55107 70.19097 195.0114 84.85407 192.5734 112.284 201.1379 123.8402 205.4226 143.5417 191.105 167.405 160.6636 169.6537 173.4415 175.9333 186.7672
52.35155 144.0979 0 13.45362 144.7282 149.8517 157.5081 186.9721 85.24675 177.1805 106.4677 194.7005 114.6455 197.8979 133.7576 202.556 167.5517 157.1782 206.7752 207.2004 210.3823 207.1097 197.2232
61.14759 153.5833 13.45362 0 153.0662 157.8518 163.679 192.7264 72.65392 181.0538 95.55467 197.0572 103.4183 199.3809 123.3862 202.4963 160.7745 152.1184 205.387 205 208.0386 204.3169 192.7693
92.38405 16.96171 144.7282 153.0662 0 6.888217 31.85252 55.87502 188.534 68.17031 183.5509 95.58437 191.8611 106.992 194.5616 126.5817 176.748 152.7457 143.7371 152.8144 156.5944 159.1915 170.6085
97.51293 22.57688 149.8517 157.8518 6.888217 0 26.05443 49.01467 191.1744 62.30424 185.0757 89.73198 193.2472 101.3922 195.132 121.4501 175.1237 150.9256 139.0022 148.3793 152.1343 154.9854 167.2931
106.4173 48.55107 157.5081 163.679 31.85252 26.05443 0 29.88809 187.0141 36.32518 176.65 63.74961 184.2153 75.33793 183.1617 95.59913 156.3604 131.825 113.5392 123.3093 127.019 130.2616 144.2581
136.1987 70.19097 186.9721 192.7264 55.87502 49.01467 29.88809 0 211.5145 29.63316 198.1981 51.47202 205.159 64.68013 201.4038 87.72581 166.5859 142.216 107.7618 119.2058 122.5744 127.3953 146.2815
112.0045 195.0114 85.24675 72.65392 188.534 191.1744 187.0141 211.5145 0 190.7858 32.27419 197.3616 36.52017 194.8101 59.68536 189.3635 114.3465 116.54 184.839 180.0733 182.112 176.2224 156.4845
129.5847 84.85407 177.1805 181.0538 68.17031 62.30424 36.32518 29.63316 190.7858 0 174.5637 27.42992 180.9526 39.38774 175.3261 60.93988 137.5144 113.3095 80.1493 91.01374 94.53124 98.84143 116.7912
120.1505 192.5734 106.4677 95.55467 183.5509 185.0757 176.65 198.1981 32.27419 174.5637 0 177.2413 9.109942 172.9969 28.5795 164.7741 82.75349 87.50635 158.0389 152.1207 153.8409 147.4953 126.1508
150.1245 112.284 194.7005 197.0572 95.58437 89.73198 63.74961 51.47202 197.3616 27.42992 177.2413 0 182.5653 13.23537 173.5349 36.51725 127.6592 104.9278 56.88671 68.82468 71.97478 77.47139 99.26362
129.258 201.1379 114.6455 103.4183 191.8611 193.2472 184.2153 205.159 36.52017 180.9526 9.109942 182.5653 0 177.7903 23.2861 168.5493 82.15227 89.43964 160.8134 154.2834 155.8033 149.1943 126.7182
155.4239 123.8402 197.8979 199.3809 106.992 101.3922 75.33793 64.68013 194.8101 39.38774 172.9969 13.23537 177.7903 0 167.3079 23.35694 118.4631 96.65599 43.81579 55.91642 58.97085 64.71025 87.48702
141.7323 205.4226 133.7576 123.3862 194.5616 195.132 183.1617 201.4038 59.68536 175.3261 28.5795 173.5349 23.2861 167.3079 0 155.5585 62.12033 73.78516 145.644 137.9295 139.0468 132.0046 107.7993
164.2319 143.5417 202.556 202.4963 126.5817 121.4501 95.59913 87.72581 189.3635 60.93988 164.7741 36.51725 168.5493 23.35694 155.5585 0 101.8717 82.40301 20.51322 32.81996 35.71906 41.8238 66.29657
155.448 191.105 167.5517 160.7745 176.748 175.1237 156.3604 166.5859 114.3465 137.5144 82.75349 127.6592 82.15227 118.4631 62.12033 101.8717 0 24.57789 88.12272 78.64482 79.13449 71.63579 45.93231
138.492 167.405 157.1782 152.1184 152.7457 150.9256 131.825 142.216 116.54 113.3095 87.50635 104.9278 89.43964 96.65599 73.78516 82.40301 24.57789 0 71.90345 64.84597 66.39821 59.99269 41.23106
172.4142 160.6636 206.7752 205.387 143.7371 139.0022 113.5392 107.7618 184.839 80.1493 158.0389 56.88671 160.8134 43.81579 145.644 20.51322 88.12272 71.90345 0 12.55447 15.21777 21.76373 48.1078
175.499 169.6537 207.2004 205 152.8144 148.3793 123.3093 119.2058 180.0733 91.01374 152.1207 68.82468 154.2834 55.91642 137.9295 32.81996 78.64482 64.84597 12.55447 0 3.836955 9.233921 36.40055
179.069 173.4415 210.3823 208.0386 156.5944 152.1343 127.019 122.5744 182.112 94.53124 153.8409 71.97478 155.8033 58.97085 139.0468 35.71906 79.13449 66.39821 15.21777 3.836955 0 7.873216 35.70325
177.446 175.9333 207.1097 204.3169 159.1915 154.9854 130.2616 127.3953 176.2224 98.84143 147.4953 77.47139 149.1943 64.71025 132.0046 41.8238 71.63579 59.99269 21.76373 9.233921 7.873216 0 27.83076
174.0314 186.7672 197.2232 192.7693 170.6085 167.2931 144.2581 146.2815 156.4845 116.7912 126.1508 99.26362 126.7182 87.48702 107.7993 66.29657 45.93231 41.23106 48.1078 36.40055 35.70325 27.83076 0
