0 55.72477 67.24768 161.7413 162.6588 79.60057 27.95085 177.2322 72.99486 158.8001 154.402 103.1564 108.652 182.675 248.4457 232.3085 279.1509 250.4621 260.1274 262.9834 256.3323 259.1838 298.6875 297.4357 290.0211 298.6842 293.3875 299.9271 313.0371 301.427 298.4564 304.3456 306.1491 306.4233 308.0525 322.2612
55.72477 0 12.08305 106.066 148.4789 27.01851 47.42362 121.8072 122.9715 104.6536 100.4683 151.7893 156.8694 134.6485 205.8835 251.9623 249.5756 260.7163 277.4977 281.9539 264.7659 268.7322 270.248 269.3794 289.705 312.016 299.0401 312.642 293.6409 313.6957 295.5842 307.0847 311.0048 311.8092 313.92 309.4673
67.24768 12.08305 0 94.53042 144.0228 15.6205 56.04463 110.0227 132.5745 92.58245 88.38806 160.854 165.8011 123.1269 195.0641 253.805 241.0187 260.4477 278.6916 283.4784 264.0776 268.2629 261.8396 261.0484 287 312.1602 297.5718 312.6484 286.9442 313.6001 292.3081 304.9541 309.3121 310.2273 312.4331 304.0592
161.7413 106.066 94.53042 0 170.8179 84.02381 148.0844 17.80449 224.5707 25.56943 27.79297 251.1772 255.6912 73.75786 145.5266 310.2338 217.3891 303.8635 330.3105 336.8798 304.5997 309.9952 238.21 238.328 312.3284 355.9831 331.2175 355.5629 279.0788 355.816 313.0815 333.5881 340.8724 342.5274 345.3053 306.8876
162.6588 148.4789 144.0228 170.8179 0 133.3993 134.9749 171.8846 166.0754 147.1191 143.6773 174.2723 175.3233 119.0487 133.9436 146.8299 125.455 133.5971 162.6792 170.0843 133.8658 139.3662 142.3335 140.6487 145.5339 185.3766 161.1818 184.8546 150.4062 185.0507 149.2893 165.3396 171.5365 172.9628 175.5886 161.6042
79.60057 27.01851 15.6205 84.02381 133.3993 0 64.07027 98.4124 140.6983 79.20008 74.81706 167.8869 172.5862 107.6548 179.4492 250.05 226.42 254.065 274.0456 279.2347 257.1867 261.62 247.3297 246.5933 277.7643 306.1503 289.6981 306.4719 273.7608 307.2995 282.4465 296.3191 301.1611 302.2003 304.5102 292.0274
27.95085 47.42362 56.04463 148.0844 134.9749 64.07027 0 162.1111 76.79193 141.3221 136.7146 104.8094 109.7679 159.835 222.8654 213.8598 251.3344 228.4732 240.8527 244.3952 233.7734 237.0021 270.8007 269.5352 265.1528 277.9946 270.1296 279.0161 285.2823 280.3605 273.0293 280.3034 282.703 283.1325 284.9095 295.1627
177.2322 121.8072 110.0227 17.80449 171.8846 98.4124 162.1111 0 238.0525 25.70039 30.0289 263.9185 268.2629 65.10931 132.6386 314.401 207.7619 305.4701 333.3137 340.1955 305.6305 311.2073 228.2652 228.5416 310.3579 357.2072 330.6509 356.609 271.4001 356.7212 310.2467 332.0392 339.8191 341.6021 344.4669 300.8205
72.99486 122.9715 132.5745 224.5707 166.0754 140.6983 76.79193 238.0525 0 216.1589 211.4653 30.23243 35.80503 227.7547 281.3006 183.5347 291.4138 212.1438 212.53 213.3542 219.9204 221.199 308.3504 306.6207 262.688 254.126 258.3815 256.0488 309.5238 258.0174 273.9416 272.4427 271.5327 271.1402 272.105 309.4834
158.8001 104.6536 92.58245 25.56943 147.1191 79.20008 141.3221 25.70039 216.1589 0 4.733726 241.1575 245.3297 49.57072 123.7662 288.834 192.7791 280.587 307.9943 314.8007 280.9788 286.482 213.7236 213.7617 287.3613 332.4929 306.7953 331.9689 253.7365 332.1419 287.8662 308.7726 316.2482 317.9559 320.7709 281.3286
154.402 100.4683 88.38806 27.79297 143.6773 74.81706 136.7146 30.0289 211.4653 4.733726 0 236.4309 240.5996 49.78147 124.7747 284.8318 192.2859 277.0354 304.1879 310.9412 277.5403 283.0074 213.303 213.2858 284.5759 329.0157 303.6888 328.5266 252.5199 328.7274 285.2886 305.8852 313.2478 314.9268 317.7223 279.6118
103.1564 151.7893 160.854 251.1772 174.2723 167.8869 104.8094 263.9185 30.23243 241.1575 236.4309 0 5.656854 248.681 297.1128 166.3641 299.2524 199.6121 195.2562 195.0026 208.1274 208.5977 314.8746 312.9812 254.2302 237.6089 246.4163 239.8354 310.6397 242.0021 266.5521 261.6811 259.5149 258.8146 259.449 306.6627
108.652 156.8694 165.8011 255.6912 175.3233 172.5862 109.7679 268.2629 35.80503 245.3297 240.5996 5.656854 0 252.015 299.3927 162.693 300 196.7257 191.5124 191.0654 205.3607 205.6818 315.3569 313.4346 252.002 233.9444 243.559 236.2224 310.1113 238.4219 264.5033 259.0232 256.632 255.8769 256.451 305.4079
