46.33333 63.04762
107.1527 82.85986
84 173
85.33333 152.6667
88 153
90 146.5
91.66667 143.6667
91 187
92.5 189.5
94 142
96 194
97.6 208
101.7105 214.4211
103.8571 127.4286
103 230
104 134
104.2 224
106 229
165.5866 260.706
112.1481 53.33333
109 232.5
112.3889 130.0556
130.3649 119.4775
131.5 60.5
139.6304 69.45652
135.3333 65.33333
148.625 71.25
154.7077 79.81538
222.6496 113.6308
160.3333 86
208 255
215.6 71.31429
255.5881 214.5777
227.3333 246.6667
250.5 171.5
255.4615 172.6923
257 232
294 185
