0 75.02666 76.1643 55.22681 37.85499 158.9657 29.20616 31.82766 141.0567 34.71311 34.4093 38.60052 142.0037 140.0099 125.3994 109.4166 103.4698 115.1086 118.6307 116.0011 150.6287 156.8184 196.6647 226.2918 225.8992 225.1941 227.229 232.1422 233.8632 257.6354 257.6165 255.9785 255.1627 263.9436 267.03 263.2299 259.8807 266.0113 263.698 262.3884 270.7563 281.2046 276.9043 276.5737 270.2924 271.8842 273.0293 275.3634 260.3604 277.4658 262.7442 279.5783 275.6592 282.8066 289.9138 268.0019 272.3954 300.4118 297.1088 279.6945 303.7532 309.4834 282.6393 291.5956 313.949 311.7194 298.5733 300.6601 304.429 307.103 298.5431 316.7649
75.02666 0 3.162278 20.22375 112.1606 157.7237 99.29753 100.02 67.6757 100.896 98.49365 102.2008 72.49491 71.58234 195.9694 177.4176 169.8499 181.2981 184.1229 180.7768 208.8923 210.0595 145.4373 180.2471 180.9754 182.5934 183.4121 187.843 191.0942 212.4735 213.9959 212.9037 220.4291 226.4161 229.1724 227.3785 225.4972 229.9239 229.3249 229.2514 234.094 241.4726 239.5851 239.8208 239.1757 241.5699 243.7581 245.4465 295.5569 247.0369 298.7014 248.6463 246.6759 251.0676 255.83 303.4238 308.0199 271.2771 271.7578 306.1503 278.2894 282.6606 303.4007 320.5386 285.9598 284.8298 327.0856 326.3258 330.1212 332.7991 301.4382 306.0016
76.1643 3.162278 0 21 113.0398 155.0733 99.84989 100.449 65.80274 101.2028 98.71677 102.3572 70.05104 69.03283 196.2295 177.4852 169.8146 181.2209 183.9898 180.6025 208.2547 209.1531 142.3587 177.1243 177.8429 179.4455 180.272 184.7079 187.9495 209.3538 210.8631 209.7665 217.2671 223.256 226.0133 224.2164 222.3353 226.762 226.1629 226.0909 230.9329 238.3212 236.4255 236.6601 236.0191 238.4156 240.6076 242.2932 293.7355 243.8816 296.9049 245.4893 243.5262 247.9084 252.6678 301.6024 306.2013 268.1236 268.6229 304.0164 275.1527 279.5157 301.0947 318.4729 282.8091 281.6842 325 324.1489 327.9421 330.618 298.6855 303.0066
55.22681 20.22375 21 0 92.0489 151.0284 79.07591 79.83107 86.12201 80.77747 78.44743 82.21922 88.65953 87.15091 175.8551 157.4865 150.0533 161.5549 164.4635 161.187 190.2866 192.255 154.4571 187.7711 188.1146 188.9463 190.192 194.8333 197.5905 219.9682 220.9779 219.693 224.5395 231.4762 234.3608 231.9052 229.5387 234.5464 233.3943 232.928 238.933 247.358 244.6753 244.7305 242.2973 244.4606 246.3433 248.2438 281.7047 250.0045 284.7007 251.7817 249.1947 254.4711 260 289.56 294.133 274.0114 273.3501 294.2941 279.9571 284.7631 292.8566 308.185 288.4337 286.9652 314.8587 314.7483 318.5545 321.2433 295.3269 303.5951
37.85499 112.1606 113.0398 92.0489 0 163.9856 17.20465 19.79899 176.7258 22.80351 26.24881 26.92582 176.0265 173.6736 88.58894 74.51845 70.03571 81.32035 85.21297 83.21208 120.9297 130.1422 221.964 248.4774 247.5967 245.876 248.3948 253.3871 254.3718 278.6485 277.9177 276.0652 271.3982 281.2619 284.4293 279.7803 275.8278 282.604 279.5423 277.6845 287.5065 299.1739 293.8248 293.2337 284.431 285.6011 286.2202 288.8044 240.8718 291.1001 242.7849 293.4025 288.6468 296.9413 305.0131 248.2136 252.401 312.9077 307.8413 264.4617 314.3962 320.6696 270.3627 274.7745 325.6148 322.8932 281.8386 285.3883 289.0675 291.6869 295.1694 319.8765
158.9657 157.7237 155.0733 151.0284 163.9856 0 149.0171 145.3528 166.4982 141.7067 138.6519 137.1768 151.0427 147.0942 183.8385 163.318 154.3678 158.8579 157.8876 153.9925 148.5927 135.5722 118.5396 122.1905 119.3589 113.6997 117.7189 122.0557 119.8641 142.3915 139.1083 136.7113 120.4162 132.4329 135.5648 128.9553 123.7324 131.6741 126.9152 123.8547 136.6306 150.7813 142.9548 141.7303 127.7002 128.0057 127.6581 130.5787 160.2756 133.1288 164.2478 135.6845 129.6557 139.6573 149.2873 167.6327 172.0676 152.5229 145.5444 158.5852 151.9403 158.6399 150.8081 174.79 164.0093 160.8236 180.4826 176.8979 180.5481 183.114 144.2986 157.8075
29.20616 99.29753 99.84989 79.07591 17.20465 149.0171 0 4 162.1111 8 10.44031 13 160.5407 158.0491 97.40637 80.5295 74.33034 85.98256 89.46089 86.80006 121.7539 128.7051 204.7926 231.2942 230.4288 228.7525 231.2488 236.2393 237.2615 261.5206 260.8299 258.9903 254.6782 264.4282 267.5892 263.0304 259.1467 265.8515 262.8771 261.0879 270.7397 282.2853 277.0433 276.4815 268.0019 269.236 269.937 272.4849 235.3874 274.7531 237.5553 277.0289 272.3986 280.5248 288.4666 242.9033 247.2089 296.7646 292.0062 256.9124 298.585 304.7638 261.5033 268.0019 309.6272 306.9919 275.0364 277.8966 281.6239 284.2732 282.9859 305.7924
31.82766 100.02 100.449 79.83107 19.79899 145.3528 4 0 162.0123 4 6.708204 9 160.0053 157.4374 96.16652 78.72103 72.20111 83.86298 87.24248 84.46449 118.8276 125.4313 202.7116 228.8253 227.9096 226.132 228.6744 233.6686 234.6167 258.9073 258.1477 256.2889 251.6446 261.4771 264.6432 260.0173 256.0879 262.8403 259.8084 257.978 267.7387 279.3797 274.0529 273.4703 264.8037 266.0075 266.6721 269.236 231.6072 271.5166 233.7959 273.8047 269.1189 277.321 285.3296 239.1359 243.4507 293.4438 288.5774 252.9901 295.1491 301.3586 257.5267 264.1231 306.2499 303.5852 271.1549 273.9754 277.7049 280.3556 279.0287 302.0017
141.0567 67.6757 65.80274 86.12201 176.7258 166.4982 162.1111 162.0123 0 162.0123 159.0503 162.1512 17.74218 21.03643 255.3272 235.1872 226.7179 237.5647 239.7608 236.026 258.0543 255.3919 102.7035 139.3018 141.2425 145.333 144.679 148.0979 152.7383 169.6496 172.7144 172.2905 188.0239 190.6312 192.8419 193.2589 193.0414 195.3689 196.5805 197.7816 198.6454 202.3882 203.0887 203.8872 209.0096 212.0377 215.1139 216.037 322.0982 217.0052 325.7491 218.0023 218.1124 219.457 221.5784 329.8151 334.3924 241.013 245.1522 324.7461 251.1991 254.0177 317.2003 340.6538 256.0176 256.0078 346.5617 343.3577 347.0216 349.5958 299.528 291.3434
34.71311 100.896 101.2028 80.77747 22.80351 141.7067 8 4 162.0123 0 3.605551 5 159.5683 156.9252 95.07891 77.07788 70.23532 81.88406 85.15427 82.25722 115.9655 122.2007 200.6888 226.4001 225.4332 223.5524 226.1415 231.1385 232.0108 256.3299 255.5 253.6218 248.6383 258.5542 261.725 257.0311 253.0553 259.8557 256.7652 254.893 264.764 276.5014 271.0885 270.4848 261.6276 262.8003 263.4274 266.0075 227.8345 268.3007 230.0446 270.6012 265.859 274.1382 282.2145 235.3763 239.7003 290.1401 285.1636 249.0703 291.7276 297.9681 253.5508 260.248 302.8878 300.1933 267.277 270.0565 273.7882 276.4403 275.0727 298.2164
