0 20.00851 3.515837 3.333333 4.323707 66.17674 31.51333 23.35297 67.45636 12.0185 15.0785 17.31169 62.59415 19.48575 175.9073 63.00022 169.2991 173.2504 57.51088 162.2129 218.1656 215.4631 87.00399 173.1927 91.89865 194.013 194.5842 115.5394 110.9956 121.3577 125.0694 255.07 261.1239 260.1045 262.3071 261.3 261.7098 285.2391 199.4635 305.7423 231.8556 308.7216 241.045 313.3735 249.3953 290.8276 309.4803
20.00851 0 23.03394 20.18818 18.29105 46.19591 50.92274 7.520804 47.55589 19.27596 19.27596 20.03902 43.56102 23.62335 156.0563 45.36587 162.4648 153.4391 71.02067 143.0299 198.6366 196.0136 102.482 154.5366 106.0498 175.4824 176.3209 127.5894 121.8547 133.31 132.1517 238.3602 244.8807 243.955 246.1373 245.2245 245.7378 270.2944 204.9416 292.2568 235.821 295.3643 246.7237 300.0489 252.9655 293.2645 310.8345
3.515837 23.03394 0 3.354102 5.385165 69.06519 28.13472 25.70992 70.25667 11.80042 15 17.20465 65 18.78829 178.6197 65 168.7295 175.9318 54.25286 164.56 220.6621 217.9186 83.54639 175.3283 88.52683 196.0944 196.5731 112.3299 107.912 118.1524 122.4132 256.5638 262.4881 261.4441 263.6513 262.6195 263.0019 286.2621 196.9391 306.4131 229.5125 309.3622 238.4722 314.0052 247.0971 288.6694 307.4703
3.333333 20.18818 3.354102 0 2.061553 66.01704 30.74593 22.45551 67.15095 8.944272 12.09339 14.32655 61.72722 16.2865 175.4487 61.65428 166.2026 172.7462 54.89132 161.2614 217.4029 214.6468 84.82482 171.992 89.46647 192.7518 193.2233 112.8195 108.1307 118.6307 121.9067 253.2316 259.1742 258.1342 260.3406 259.313 259.7003 283.0199 196.2428 303.2775 228.5809 306.2372 237.8408 310.8834 246.1102 287.5174 306.154
4.323707 18.29105 5.385165 2.061553 0 64.00781 32.6353 20.39608 65.12296 7.762087 10.77033 13 59.66574 15.29706 173.4013 59.61543 165 170.6956 55.80111 159.2011 215.3418 212.5853 86.05231 169.9441 90.50967 190.7092 191.191 113.6002 108.7566 119.4027 122.0901 251.2847 257.2567 256.2226 258.4279 257.4063 257.8003 281.1921 196.2906 301.5593 228.4754 304.5291 237.9244 309.1783 245.9675 287.2647 305.7924
66.17674 46.19591 69.06519 66.01704 64.00781 0 96.33308 44.10215 3.162278 62.33979 60.67125 60.01666 14.31782 62.58594 110.0227 23.76973 152.7154 107.4895 108.7629 98.84331 153.2768 150.8526 141.3153 111.8302 142.6639 132.9248 134.5251 159.7623 152.2005 165.0757 154.9871 200.2124 207.9086 207.2414 209.3466 208.6936 209.4755 236.4572 221.434 261.9256 248.2136 265.3243 262.589 270.0412 264.0928 301.0913 315.9304
31.51333 50.92274 28.13472 30.74593 32.6353 96.33308 0 52.25957 97.25514 34.34112 36.5932 37.90201 90.69764 36.64099 204.9562 89.08739 175.0137 202.1449 37.27133 189.3108 245.9787 243.0469 60.07131 199.0014 67.00047 219.4119 219.4005 93.13465 90.73071 98.90684 110.3475 276.3586 281.4721 280.2794 282.5076 281.3264 281.537 303.0001 185.1663 320.7282 219.3708 323.4603 225.8474 328.026 237.2911 280.0251 300.1751
23.35297 7.520804 25.70992 22.45551 20.39608 44.10215 52.25957 0 45 18.33712 17.08801 17 39.29377 20.24846 153.0621 39.82462 154.9442 150.3363 68.28857 138.8848 194.9533 192.2095 100.3444 149.8566 103.2279 170.6986 171.3301 123.7457 117.5925 129.4025 126.657 232.4995 238.8242 237.8613 240.0521 239.1025 239.5767 263.7973 198.8819 285.3945 229.4014 288.4753 240.6657 293.154 246.4549 286.5257 303.9161
67.45636 47.55589 70.25667 67.15095 65.12296 3.162278 97.25514 45 0 63.09715 61.29437 60.53098 12.20656 62.96825 108.5035 21.47091 149.7457 105.9056 108.6041 96.66437 151.4324 148.9446 141.1524 109.4166 142.2709 130.5105 132.0189 158.9277 151.2382 164.195 153.4829 197.4361 205.0658 204.3844 206.4946 205.8276 206.5962 233.4823 219.4288 258.8532 245.9675 262.2461 260.5091 266.963 261.7728 298.6001 313.3209
12.0185 19.27596 11.80042 8.944272 7.762087 62.33979 34.34112 18.33712 63.09715 0 3.201562 5.408327 56.37597 7.566373 170.6173 55.22001 157.2891 167.8131 51.87456 155.3488 211.8428 208.9719 83.20607 165.5453 86.88067 186.1646 186.4383 108.9599 103.6352 114.7225 115.781 245.5489 251.3071 250.2344 252.4465 251.3867 251.7385 274.744 189.6503 294.6884 221.5429 297.626 231.3444 302.2656 238.9691 280.0897 298.4665
