176.6008 133.9519
3.75 44.375
5 58
6 37
6 43
6 61
9 44
11.5 94
12 92
15.33333 32.58333
16.5 37.25
15 44
16 63
18 48
18 50
18.5 60
19.5 38.5
19 56
19 65
20 51
22 71
25 45
25 49
25 63
25 70
26 52
28 48
29 22
30 41
30.5 72
31 75.66667
31.5 68.5
33 31
33.5 34.5
33 46
34.5 77.5
36 32
36 45
39.5122 229.9268
37 79
38 40
38 44
38.5 47.5
39 82
40 51
41 48
42.5 50
43 37
45 50
45 77
47 43
48.6 44.6
48 47.5
49 71
52.05 73.55
50 41
50 69
53.7619 51.80952
52 46
53 44
54.5 68.5
57 46
59 38
59 66
62 34
63 51
63 68.5
64.66667 79.33333
65 32
65 67
70.3125 27.09375
66 63
67 79
68.5 60
68 62
69 53
69.5 66.5
69 79
70 64
72 60.5
73 3
73 64
75 11
77.82609 23.04348
75 57
76 54
77 50
77 60
78 58
80 51
81 72
82 2
83 71
84 43
87 28
87 48
87.5 65.5
88 32
90 32
90 63
91 12
99 30
100 34
107 140
113 9
116 1
129 1
129.5 3.5
132.6 2.2
132 237
133.3333 222.3333
135 2
135 219.5
151 21
152 5
157 8
160 10
161 6
165 16
166 14
172 11
185 13.33333
186 10
192.3333 3.333333
194 1
204 51
211.9 52.13333
214 235
215.8261 279.8696
218 234
220 218
252.6193 277
221.5 212.5
221 215
222 124
223 215
224.6667 212.3333
225 130
225 209.5
227 286.5
229.75 36.9
230 70
234 42
236 134
244.5714 31.28571
245 112
247 103
248.1429 111.1429
248 211
249 213
252 237
258 271.6
259 210
259 213
262.5 80
272 251
276.8 217.2
275 221
281 254
285.8846 21.46154
284 221
285 216
286 255
286 264
293.7857 255.7857
295 16.5
295.5 191.5
297.5 188.5
299.8182 271.8727
298 192
304 258.5
