179.4447 135.1753
4 97.5
3 113
5.5 61.5
6 67.66667
5.5 102
5 107
6.5 100
7 106
7 113
7 115
8 57
8 60
9.5 93.5
10.22222 103.1111
10 52
10 57
12.5 68
13 73
13 94
16 68
16 104
18 56
19 63
20 61
20.5 72.5
21 67
21 107
21 110
22 64
23.5 110
24 59
25 106
27.5 70
26.5 116.5
30 49
30 56
31 74.5
33 53
35 108
35 110
39.5122 229.9268
37 107
38 110
44 36
46 123
51.75 74.6875
50 19
50 107
51 21
51 71
54.83333 52.58333
53 71
58.5 8.5
58.66667 37
59 47
59.5 58.5
60 18
63.75 34.75
67.66667 29.33333
71.22727 26.63636
71.5 69.5
74 23
74 69
77.90909 22.63636
76.33333 70.33333
80.25 6.25
81 9
81.5 12
82 15
83 18.5
83 70
84 21
84 68
87.25 56.75
87 65
98 63.11111
97 49
101.5 52.5
101.5 59
104.5 49.75
105.5 52
106 56
107 140
109 54
108.6667 58.66667
109 43
110.5 47.5
110 50
111 10
117.5 25.5
131 12
131 14
132 237
133.3333 222.3333
135 219.5
138 8
138 10
139 5.5
152 20
155 18.75
158 4
159 11.5
160 14
161 17
162.5 1.5
169 3
169 5
171 12
172 6.5
185 13.33333
186 11
204 51
207 219
211.9 52.13333
214 235
215.8261 279.8696
246.9132 279.2026
222 124
224 223
225 130
227 226
227 286.5
229.75 36.9
230 70
236.0492 237.0492
232 230
234 42
236 134
244.5714 31.28571
245 112
247 103
248.1429 111.1429
250 217
257.5 227.5
257.75 271.75
262.5 80
261 213
261 232
263 212
263.5 218
268 218
270.5 273
272.8 229.4
280.5 283.5
285.8846 21.46154
292.5 133.5
292 184
294 180
295 16.5
295 189
296 133
302.1579 129.2632
299 176
300 174
302.4 124.4
