1 115
179.5787 135.8719
2 55
3 58
8 41
12 93.66667
39.5122 229.9268
52.28571 73.57143
54.14286 52.07143
53 68
54 70
59 14
62.83333 34.33333
65 28
70.52941 27.20588
77.8 22.6
77 15
94 23.5
96 24
107 140
132 11
132 237
133.3333 222.3333
134 2
135 219.5
146 6
149 18
186 233
204 51
211.9 52.13333
214 229
214 235
215.8261 279.8696
240.694 276.99
222 124
225 130
227 286.5
229.75 36.9
230 70
234 42
236 134
244.5714 31.28571
245 112
247 103
248.1429 111.1429
252.5 205
254 290
258 271.6
262.5 80
272 228
281.6979 199.8229
285.8846 21.46154
295 16.5
300 131
