182.298 134.71
2 87
9 41
24.33333 50.33333
26 48
39.5122 229.9268
40.38462 134
42 41
44.75 9
44 63
45 48
51.92857 73.64286
54.21053 51.89474
54 58
58 11
61 2
61 10
70.09677 26.90323
74 24
78.375 22.625
95 44
99 11
102 35
105.5 51.5
107 140
132 237
133.3333 222.3333
135 219.5
144 10
204 51
211.9 52.13333
214 235
215.8261 279.8696
241.0653 277.3823
222 124
225 130
227 286.5
229.75 36.9
230 70
234 42
236 134
238 236
244.5714 31.28571
243 223
245 112
247 103
248.1429 111.1429
258 271.6
262.5 80
276 198
285.8846 21.46154
289 190
295 16.5
