0 89.22567 144.505 78.83847 137.646 89.48001 139.0219 96.2331 174.7657 173.8223
89.22567 0 68.61897 149.8353 64.1507 146.3978 156.577 150.0052 125.7525 129.2953
144.505 68.61897 0 182.0633 7.531851 169.1501 148.132 169.7723 69.46828 76.10987
78.83847 149.8353 182.0633 0 174.5324 25.70045 96.77261 32.47913 182.3714 177.6881
137.646 64.1507 7.531851 174.5324 0 161.698 141.8696 162.3776 68.58368 74.57919
89.48001 146.3978 169.1501 25.70045 161.698 0 71.09321 7.566373 161.789 156.456
139.0219 156.577 148.132 96.77261 141.8696 71.09321 0 64.8481 113.1023 105.4723
96.2331 150.0052 169.7723 32.47913 162.3776 7.566373 64.8481 0 159.2767 153.6291
174.7657 125.7525 69.46828 182.3714 68.58368 161.789 113.1023 159.2767 0 8.905436
173.8223 129.2953 76.10987 177.6881 74.57919 156.456 105.4723 153.6291 8.905436 0
