195.4765 134.8404 153.9597 113.3929 109.7119 102.6517 95.7616 89.24283 86.27569 72.84315 212.168 155.0388 177.3116 49.57284 34.28606 185.3628 22.68264 17.17477 0 173.4161 171.4198 173.3427 7.717801 12.96728 22.8116 32.98413 100.9154 53.54087 101.9699 106.4636 71.9512 99.23031
81.6563 134.1091 116.7348 144.1059 145.6855 149.6487 157.7789 160.6277 163.1443 165.4916 63.66581 58.54011 10.85936 164.7837 169.6207 37.12226 170.7352 170.5795 173.4161 0 4.472136 9.073959 169.713 169.1222 166.4715 163.9721 87.44856 157.1916 93.27677 96.84151 150.8307 131.1666
85.75507 135.909 119.2441 145.205 146.6684 150.4084 158.3098 160.9635 163.3872 165.3574 68.13437 61.21774 8.432318 164.0222 168.4601 41.47364 169.2823 168.9896 171.4198 4.472136 0 5.376631 167.5604 166.8447 163.9795 161.2618 83.97172 154.0645 89.60965 92.98178 147.3541 127.2425
90.72898 140.9905 124.5573 149.9323 151.3262 154.9246 162.6679 165.1803 167.5334 169.2031 71.83138 66.57109 4.08325 167.3077 171.3429 46.05981 171.8491 171.4017 173.3427 9.073959 5.376631 0 169.2867 168.4067 165.2488 162.2164 83.75782 154.3633 88.99164 91.92075 147.0285 125.9677
194.9365 137.6548 155.6754 116.9701 113.4142 106.6559 100.346 94.08108 91.31387 78.19565 210.3466 153.8488 173.2164 55.03479 40.36687 183.0541 29 23.47746 7.717801 169.713 167.5604 169.2867 0 5.451372 15.21974 25.36077 95.03289 45.83977 95.68031 99.88048 64.23349 91.68045
196.646 141.4484 158.8367 121.179 117.6886 111.0822 105.0391 98.8876 96.20342 83.21907 211.1525 155.161 172.2995 60.13559 45.67333 183.5284 34.38148 28.87455 12.96728 169.1222 166.8447 168.4067 5.451372 0 9.844324 20.0179 92.61817 40.63706 92.83498 96.69778 59.16517 87.15172
198.1043 147.0376 163.138 127.6593 124.3124 118.038 112.5749 106.6854 104.1915 91.54234 210.919 155.9829 169.0677 68.71008 54.79179 182.7466 43.74518 38.30748 22.8116 166.4715 163.9795 165.2488 15.21974 9.844324 0 10.1764 87.09056 30.87759 86.56205 89.83226 49.5231 78.17571
199.7754 152.9979 167.7779 134.5456 131.3476 125.4105 120.5121 114.8856 112.576 100.2727 210.8183 157.1385 165.9442 77.74684 64.33805 182.1518 53.52516 48.15985 32.98413 163.9721 161.2618 162.2164 25.36077 20.0179 10.1764 0 81.92285 20.80508 80.54057 83.09491 39.57312 68.9838
144.7989 139.6072 139.8612 133.7619 132.743 131.5732 133.8141 132.3782 132.6957 127.3712 144.0364 102.6598 87.09497 114.7968 111.6905 114.0529 107.4907 104.9768 100.9154 87.44856 83.97172 83.75782 95.03289 92.61817 87.09056 81.92285 0 71.19949 8.493462 16.40207 63.38718 47.42889
201.1803 163.6237 175.5541 147.2508 144.3895 139.2028 135.5112 130.48 128.5727 117.0993 208.5133 157.9228 157.8644 95.43626 83.1986 179.0774 72.97341 67.81116 53.54087 157.1916 154.0645 154.3633 45.83977 40.63706 30.87759 20.80508 71.19949 0 67.94631 68.79806 18.85311 49.48888
152.8671 147.6489 148.284 141.2116 140.0692 138.621 140.4516 138.7208 138.8614 132.9439 151.174 110.9216 92.13812 119.3064 115.1926 121.2055 110.2333 107.3547 101.9699 93.27677 89.60965 88.99164 95.68031 92.83498 86.56205 80.54057 8.493462 67.94631 0 8.209074 58.24386 39.58044
159.2892 155.8431 156.2419 149.3769 148.2078 146.6835 148.3697 146.5186 146.5807 140.3786 156.173 117.7662 94.8381 126.164 121.4231 126.2824 115.9588 112.8297 106.4636 96.84151 92.98178 91.92075 99.88048 96.69778 89.83226 83.09491 16.40207 68.79806 8.209074 0 57.06992 34.44698
201.8382 172.8284 182.1489 158.4133 155.8689 151.3719 148.7326 144.249 142.6958 132.0179 205.736 158.5282 150.2686 111.2719 100.0707 175.8856 90.38986 85.42651 71.9512 150.8307 147.3541 147.0285 64.23349 59.16517 49.5231 39.57312 63.38718 18.85311 58.24386 57.06992 0 31.90709
192.2121 178.6662 183.0867 168.2245 166.3398 163.2621 162.7085 159.4101 158.5963 149.7912 190.5056 149.8817 128.732 131.5058 122.826 160.5749 114.6445 110.288 99.23031 131.1666 127.2425 125.9677 91.68045 87.15172 78.17571 68.9838 47.42889 49.48888 39.58044 34.44698 31.90709 0
