0 94.24027 95.27291 48.34081 151.43 88.92438 156.956 169.3071 162.8826 164.5542 187.341
94.24027 0 5.200078 65.06919 133.6284 33.51716 213.3685 224.0519 213.7651 135.2867 170.1935
95.27291 5.200078 0 63.60288 128.7107 29.09366 210.6331 221.1848 210.7523 130.1712 165.1719
48.34081 65.06919 63.60288 0 107.6054 46.063 150.9567 162.2537 152.9113 118.6276 144.9222
151.43 133.6284 128.7107 107.6054 0 100.8854 138.2284 143.0912 130.3685 19.89418 37.89021
88.92438 33.51716 29.09366 46.063 100.8854 0 184.5654 194.6881 183.8564 104.206 137.9937
156.956 213.3685 210.6331 150.9567 138.2284 184.5654 0 12.46515 13.58416 157.6094 145.7274
169.3071 224.0519 221.1848 162.2537 143.0912 194.6881 12.46515 0 12.72331 162.0687 147.4593
162.8826 213.7651 210.7523 152.9113 130.3685 183.8564 13.58416 12.72331 0 149.3514 135.1694
164.5542 135.2867 130.1712 118.6276 19.89418 104.206 157.6094 162.0687 149.3514 0 37.04184
187.341 170.1935 165.1719 144.9222 37.89021 137.9937 145.7274 147.4593 135.1694 37.04184 0
