0 34.01361 82.00385 118.702 44.03326 145.4482 39.88454 52.67759 75.82829 59.10329 58.16214 175.8188 176.8119 177.9831 189.9877 191.2758 105.2779 191.2237 121.9656 196.0375 146.2253 137.6904 148.1629 199.9828 154.7944 157.7599 202.3637 190.1926
34.01361 0 111.4135 150.259 36.13862 178.3024 70.64338 60.32056 86.68587 70.45566 72.71047 209.7353 210.7914 211.9927 223.9651 225.1777 120.5254 225.028 138.8146 229.2717 168.0668 163.864 177.2823 232.6157 183.611 185.5996 234.0243 218.7751
82.00385 111.4135 0 41.19521 124.6844 72.99865 77.91183 122.8654 135.969 123.4481 118.7767 113.6059 116.7587 120.0364 135.8378 139.7662 151.2441 142.1204 161.2552 155.0981 168.4761 147.1192 142.7703 164.7855 149.6965 156.6739 174.6097 181.2117
118.702 150.259 41.19521 0 158.7915 32.61266 103.9712 151.7265 159.4102 149.8498 144.1955 76.12517 80.19065 84.36242 101.186 106.2303 166.9242 109.6814 172.889 126.0811 171.2063 145.7179 134.2004 138.1236 140.4474 148.7621 151.1587 167.0088
44.03326 36.13862 124.6844 158.7915 0 182.6739 60.65909 27.92077 53.30482 38.91015 43.20084 207.5948 207.6174 207.8274 217.5928 217.635 88.00705 216.5003 106.7154 217.3072 138.8487 139.1099 156.2722 218.3178 161.966 162.4671 216.9524 196.1094
145.4482 178.3024 72.99865 32.61266 182.6739 0 124.2105 171.7771 175.1908 168.147 161.9807 44.99845 49.78189 54.65511 71.84051 77.71467 176.6025 82.02887 179.2459 100.8818 170.6884 143.1506 126.4604 114.547 131.7519 140.7159 129.8773 152.9205
39.88454 70.64338 77.91183 103.9712 60.65909 124.2105 0 47.88637 58.06362 46.20134 41.05416 146.9708 146.9583 147.2027 157.3116 157.6682 77.32719 156.8701 91.03542 159.4263 109.8363 98.6168 108.2784 162.1477 114.9188 118.0203 163.4083 150.3202
52.67759 60.32056 122.8654 151.7265 27.92077 171.7771 47.88637 0 26.36649 10.99558 15.97415 191.6265 190.9661 190.528 198.7621 198.0902 60.59725 196.3812 79.17733 195.2257 110.9295 111.9865 130.3843 195.0004 135.7746 135.7287 192.309 169.3646
75.82829 86.68587 135.969 159.4102 53.30482 175.1908 58.06362 26.36649 0 16.93708 18.29965 188.9873 187.51 186.276 192.4097 190.7931 34.74968 188.321 53.50669 184.3311 87.16217 92.36129 113.676 182.1573 118.2594 116.8354 177.211 150.0723
59.10329 70.45566 123.4481 149.8498 38.91015 168.147 46.20134 10.99558 16.93708 0 6.619101 185.735 184.7837 184.0676 191.6121 190.6332 50.08971 188.6796 68.524 186.672 99.9386 101.3057 120.2539 185.9075 125.495 125.2006 182.6418 158.8084
58.16214 72.71047 118.7767 144.1955 43.20084 161.9807 41.05416 15.97415 18.29965 6.619101 0 179.1737 178.1974 177.4637 184.9939 184.0239 48.28255 182.0852 66.2195 180.193 96.1333 96.11049 114.4348 179.5683 119.8032 119.7771 176.5361 153.4183
175.8188 209.7353 113.6059 76.12517 207.5948 44.99845 146.9708 191.6265 188.9873 185.735 179.1737 0 6.015189 11.83658 28.07695 34.8523 181.97 40.22987 179.9166 61.61581 162.3719 133.9646 111.4934 76.85253 114.8559 123.9514 94.63039 126.6175
176.8119 210.7914 116.7587 80.19065 207.6174 49.78189 146.9583 190.9661 187.51 184.7837 178.1974 6.015189 0 5.821416 22.42903 29.01724 179.4498 34.28411 176.8441 55.60248 158.3694 130.0115 107.0701 70.84053 110.2089 119.2638 88.65868 121.0837
