0 25.70992 55.08403 12.11519 70.40597 15.29706 75.215 70.5762 69.07966 129.8329 66.66521 85.08819 101.8236 103.1746 117.1602 165.4841 100.6789 105.8982 158.6852 101.3139 164.0625 104.0555 210.6635 166.7298 160 112.7619 114.2366 115.9741 118.5543 143.5444 116.7647 208.3532 167.8987 251.0717 259.5149 297.7549 300.7075
25.70992 0 29.56772 27.33333 44.72136 29.41088 49.5773 45.18849 43.82921 153.2345 41.76422 60.80296 77.22072 79.51101 130.3139 186.0967 85.64607 90.12611 176.7767 87.47857 182.3253 89.49798 216.0119 184.5327 177.5077 96.62945 98.35141 100.2447 102.5423 122.4418 101.5332 198.4012 146.3016 237.3605 252.0179 297.4105 300.3065
55.08403 29.56772 0 56.30892 15.69235 57.92452 22.34041 20.52438 20.35313 182.1877 20.88061 39.19503 53.34876 58.25161 152.7781 213.3266 80.762 83.65947 202.3098 84.22143 207.9429 84.96944 230.0659 209.7983 202.6086 89.05055 91.03433 93.0336 94.72682 104.8725 95.00132 195.5651 127.1724 228.9285 251.4006 304.6001 307.4089
12.11519 27.33333 56.30892 0 70.69496 3.282953 74.27404 68.90412 67.14247 125.9737 64.19264 81.39683 98.29624 98.54159 106.969 159.0821 91.2087 96.63609 150.6998 91.43455 156.1781 94.38279 198.9404 158.6025 151.7106 103.5649 104.9323 106.5963 109.2589 136.53 107.2013 197.0498 161.0791 240.5642 247.7824 285.6503 288.602
70.40597 44.72136 15.69235 70.69496 0 72.00694 8.491288 11.40175 13 196.0207 16.37834 28.44293 39.85775 46.23851 162.2025 225.5837 77.40317 79.26656 213.3776 81.58738 219.0491 81.59589 234.1144 220.6588 213.3846 83.7929 85.84288 87.82369 89.11857 93.6376 90.09439 190.8201 114.8467 221.0973 247.4207 304.5078 307.2588
15.29706 29.41088 57.92452 3.282953 72.00694 0 75.25873 69.72087 67.89698 124.2633 64.81705 81.59657 98.49284 98.4124 103.8589 156.7323 89.46089 94.9598 148.0034 89.52374 153.5008 92.55029 195.6579 155.8727 148.9497 101.9031 103.2279 104.8618 107.5524 135.5913 105.3945 194.4652 160.181 238.3212 244.9694 282.4606 285.4137
75.215 49.5773 22.34041 74.27404 8.491288 75.25873 0 6.665175 8.90118 198.4773 12.92898 20.13836 31.57245 37.7501 161.2203 226.5297 70.70678 72.19097 213.409 75.12198 219.0988 74.85722 229.9236 220.5243 213.2017 76.40826 78.46679 80.43113 81.60085 85.14639 82.78307 183.3186 106.4179 212.8876 240.0866 298.4416 301.1686
70.5762 45.18849 20.52438 68.90412 11.40175 69.72087 6.665175 0 2.236068 192.4486 6.264982 18.78829 33.09743 37.73592 154.5581 220.0773 66.00189 67.89186 206.8139 70.20328 212.5053 70.19418 223.7497 213.9108 206.5841 72.5 74.54529 76.53104 77.88016 84.58132 78.77182 179.5406 106.6722 210.4899 236.0784 293.232 295.9764
69.07966 43.82921 20.35313 67.14247 13 67.89698 8.90118 2.236068 0 190.4272 4.031129 18.86796 33.90634 38.01316 152.3226 217.9105 64.5155 66.55258 204.5996 68.63308 210.2915 68.71843 221.6924 211.6904 204.3624 71.29691 73.33485 75.32596 76.738 84.5281 77.52419 178.3273 106.8698 209.7451 234.7765 291.5099 294.2601
129.8329 153.2345 182.1877 125.9737 196.0207 124.2633 198.4773 192.4486 190.4272 0 186.899 200.7687 216.9648 214.1392 80.84961 47.96677 184.0388 189.8429 61.41047 180.7839 63.46144 184.7853 172.0661 68.3806 66.32386 195.8211 196.0496 196.7655 199.5832 238.61 195.6434 244.255 262.1452 298.3274 275.6076 273.3413 276.2323
