99.53503 233.7988 231.569 229.3394 84.27721 81.68724 97.83467 119.6894 8.975275 230.8625 233.3621 4.139914 0 233.8343 4.068852 6.980131 9.910712 266.6984 86.56533 126.3931 129.1687 132.9068 250.8839 246.5054 158.5493 250.6047 178.9615 238.5766 226.4374 254.069 227.9369 246.5811 259.6579 230.8547 248.6749 247.2608 252.2103 241.7696 251.4953 243.8446 247.374 254.3316 245.6235 248.9563 250.3049 250.5206
217.8767 89.72319 89.15857 88.64677 247.0733 245.7336 150.9528 157.446 238.6027 4.242641 3.041381 237.0084 233.8343 0 231.5346 230.0918 230.7168 84.88963 243.5678 251.3608 254.3129 258.3626 135.1416 136.5952 247.3019 158.6387 227.3571 173.3494 189.3997 177.1431 191.1969 181.0421 178.6512 193.4716 183.8947 187.0541 185.5323 191.087 187.7052 194.6209 192.149 190.2741 198.3362 196.589 195.9215 199.7505
101.843 232.9378 230.7054 228.4732 87.60571 85.00147 94.33876 119.9708 13.0384 228.6072 231.106 8.13941 4.068852 231.5346 0 2.915476 6.082763 263.4663 83.09633 122.8007 125.607 129.387 247.1447 242.7447 154.7385 246.7195 174.9571 234.6002 222.396 250.1037 223.8928 242.5881 255.6971 226.8083 244.6753 243.2488 248.2106 237.7394 247.4874 239.8079 243.3475 250.3198 241.5802 244.9204 246.2722 246.4792
103.7232 232.565 230.3313 228.0976 90.13468 87.52285 91.97867 120.4595 15.95306 227.1987 229.6965 11.01136 6.980131 230.0918 2.915476 0 3.535534 261.2968 80.53881 120.152 122.9781 126.7853 244.5608 240.1427 151.949 244.0082 172.0596 231.8043 219.5325 247.3183 221.026 239.7759 252.916 223.9386 241.8564 240.4173 245.3915 234.8883 244.66 236.9495 240.5005 247.4884 238.7143 242.063 243.4184 243.6155
107.2054 234.4632 232.2283 229.9935 93.62137 91.01236 91.16231 123.1666 18.78829 227.8711 230.3671 13.64734 9.910712 230.7168 6.082763 3.535534 0 260.7806 77.05842 116.7262 119.5385 123.3288 243.1923 238.73 148.6775 242.3025 169.0946 229.8287 217.2763 245.3782 218.7533 237.7394 250.99 221.6506 239.7937 238.3044 243.328 232.6908 242.5634 234.7175 238.3212 245.3752 236.4445 239.8354 241.2074 241.3566
278.8485 174.5752 174.0417 173.5353 302.2341 300.3935 170.005 222.7566 273.5553 88.53954 87.92326 270.5351 266.6984 84.88963 263.4663 261.2968 260.7806 0 247.5409 241.4508 243.6451 246.7235 65.43699 69.3866 225.1544 91.21403 195.8124 112.7885 135.5304 110.263 136.8302 117.7391 109.6928 138.067 120.0354 124.139 120.4201 130.8835 123.1442 133.9629 129.7787 124.902 137.3991 134.1212 132.8401 137.0639
181.4966 273.3587 271.1826 269.0074 170.6733 168.0603 94.03161 182.6034 94.64143 241.8682 244.1905 89.50559 86.56533 243.5678 83.09633 80.53881 77.05842 247.5409 0 40.26164 42.81874 46.38965 211.6707 206.4219 75.13322 203.048 102.6499 184.8466 166.2077 200.5334 167.2154 190.9607 206.2474 169.6143 192.3148 189.7077 195.6847 182.3321 194.1778 183.4607 188.1622 196.4917 184.2281 188.4808 190.192 189.2115
218.9155 292.9095 290.8144 288.7213 210.1361 207.5072 111.0914 213.7405 134.6477 250.3023 252.448 129.4768 126.3931 251.3608 122.8007 120.152 116.7262 241.4508 40.26164 0 3.431877 8.062258 196.6431 191.1675 36.87818 183.724 69.64194 162.7613 141.039 177.8399 141.6757 167.4425 183.393 143.6175 168.2914 165.0757 171.4191 156.8694 169.4993 157.362 162.5854 171.406 157.4706 162.1172 163.9817 162.3083
222.0596 296.2405 294.1475 292.0567 213.0177 210.3918 114.4547 217.1423 137.3673 253.2825 255.4195 132.2083 129.1687 254.3129 125.607 122.9781 119.5385 243.6451 42.81874 3.431877 0 4.630815 198.2178 192.7315 35.82984 184.9332 69.54455 163.7356 141.7267 178.7203 142.3181 168.2541 184.2465 144.2005 169.0457 165.7682 172.1403 157.4837 170.1777 157.9 163.1741 172.0342 157.9286 162.6134 164.4925 162.7384
226.2764 300.7607 298.6704 296.5822 216.8791 214.2574 119.0166 221.7205 141.0284 257.3679 259.4937 135.8869 132.9068 258.3626 129.387 126.7853 123.3288 246.7235 46.38965 8.062258 4.630815 0 200.5006 195.0026 35 186.7418 69.77822 165.246 142.8741 180.0979 143.405 169.5465 185.5856 145.2067 170.2616 166.9042 173.3104 158.5213 171.2921 158.8358 164.1737 173.0809 158.7577 163.4901 165.3874 163.5268
