0 123.6503 95.43889 116.7056
123.6503 0 36.45765 82.71185
95.43889 36.45765 0 55.18817
116.7056 82.71185 55.18817 0
0 123.6503 95.43889 116.7056
123.6503 0 36.45765 82.71185
95.43889 36.45765 0 55.18817
116.7056 82.71185 55.18817 0
0 123.6503 95.43889 116.7056
123.6503 0 36.45765 82.71185
95.43889 36.45765 0 55.18817
116.7056 82.71185 55.18817 0
0 123.6503 95.43889 116.7056
123.6503 0 36.45765 82.71185
95.43889 36.45765 0 55.18817
116.7056 82.71185 55.18817 0
0 123.6503 95.43889 116.7056
123.6503 0 36.45765 82.71185
95.43889 36.45765 0 55.18817
116.7056 82.71185 55.18817 0
0 123.6503 95.43889 116.7056
123.6503 0 36.45765 82.71185
95.43889 36.45765 0 55.18817
116.7056 82.71185 55.18817 0
