116.5325 114.2043
99.14439 216.4118
121.2222 244.5556
133 63.5
135 66
143.7451 71.60784
145.9841 251.0952
151.5 78.5
160.4536 75.43299
154 260
170.1091 264.9515
160 87
168 86
174 82
186.5039 78.11811
188.6667 267.7
197.2 93.8
205.6265 86.19277
201.3333 261.6667
222.0939 95.93923
220.2222 252.7778
228.3548 117.7339
224 132.5
230.3333 174.2778
230.6667 244.6667
236 244.6
238.25 238.9167
251.552 129.0475
250.9 231.2
253.6863 93.35294
257.4242 181.697
258.5227 208.4318
259.3333 197.6667
259 201
269.1212 175.4545
