0 32.56378 68.92166 57.10986 43.74549 67.72412 14.71964 30.37255 83.96584 29.70527 88.33479 32.40992 99.56216 55.82387 93.18723 96.87827 99.10552 130.6782 140.6595 96.89514 138.977 158.6484 116.7169 118.9505 164.91 169.8538 137.9095 145.619 141.8432 176.7468 158.3095 165.6487 183.123
32.56378 0 99.28476 25.23274 12.86684 36.15791 44.51841 59.13052 52.74361 55.76189 57.10346 58.91284 69.25657 77.96363 120.5244 122.6218 125.0822 104.2603 152.1311 120.3352 113.573 136.0829 135.0615 136.47 144.9981 152.088 144.9947 143.2001 140.3833 161.537 155.9665 165.3405 175.9532
68.92166 99.28476 0 120.7608 107.6316 129.9805 55.01748 40.22915 144.3747 44.64684 148.4836 41.56236 156.9761 37.42244 29.78639 37.58576 38.65918 177.8689 109.6791 44.72711 183.4634 195.797 73.70337 77.56611 196.1443 196.3008 117.4266 144.1464 139.0271 197.3665 154.7389 156.8015 186.5988
57.10986 25.23274 120.7608 0 13.46692 10.964 67.44481 80.69641 27.58265 76.19035 31.9226 79.32263 44.42031 94.58942 139.1695 139.9875 142.5733 81.60806 157.914 136.0291 91.5134 115.7584 146.5409 147.2899 126.5209 135.1186 147.6556 138.5609 136.5981 146.3481 150.9732 161.6689 166.6876
43.74549 12.86684 107.6316 13.46692 0 23.98609 54.00926 67.4754 40.37188 63.18623 44.74651 66.33626 56.57959 82.75643 126.8316 128.0647 130.6139 91.47049 150.7989 124.6796 100.8754 123.7684 136.8656 137.8931 133.1914 140.7551 142.0079 136.6934 134.2544 150.8186 149.3452 159.3495 167.5396
67.72412 36.15791 129.9805 10.964 23.98609 0 77.48338 90.17865 16.61876 85.33373 20.96048 88.42531 33.56309 102.1818 147.1892 147.4929 150.115 71.73312 160.5473 142.8924 81.88588 106.8588 151.6295 152.1028 118.4524 127.7179 149.0446 136.8395 135.2786 139.7181 148.9795 160.1788 162.656
14.71964 44.51841 55.01748 67.44481 54.00926 77.48338 0 15.68216 93.06748 15.44345 97.37171 17.90251 107.5976 41.85168 78.52547 82.15974 84.38602 135.4668 128.5335 82.32861 143.0127 160.753 102.9505 105.3589 165.4753 169.2396 127.2213 138.3864 134.2805 174.7797 150.8807 157.3412 177.4215
30.37255 59.13052 40.22915 80.69641 67.4754 90.17865 15.68216 0 105.0623 6.747592 109.2661 5.738467 118.5655 28.64993 62.84409 66.57641 68.77012 143.266 117.226 67.22001 150.0285 165.7255 89.28589 91.97244 168.8478 171.354 117.9147 133.3651 128.9034 175.4093 145.4982 150.833 173.8655
83.96584 52.74361 144.3747 27.58265 40.37188 16.61876 93.06748 105.0623 0 99.85017 4.374802 102.8724 17.33413 114.6737 159.9525 159.5696 162.2279 57.46598 165.7547 154.1327 68.0088 94.13532 160.3865 160.4724 107.1315 117.4857 152.5401 135.7875 134.8646 130.6998 147.3699 159.2403 157.711
29.70527 55.76189 44.64684 76.19035 63.18623 85.33373 15.44345 6.747592 99.85017 0 104.0012 3.162278 112.9436 26.41438 64.93266 67.76963 70.10349 136.868 113.7981 67.23466 143.515 159.0243 87.51971 89.9611 162.1005 164.6247 113.5 127.5663 123.1879 168.7606 139.8016 145.4519 167.7791
88.33479 57.10346 148.4836 31.9226 44.74651 20.96048 97.37171 109.2661 4.374802 104.0012 0 107.0105 13.50926 118.4631 163.7574 163.2405 165.9043 54.33691 167.9149 157.6396 64.98786 91.45234 163.3617 163.3623 104.8893 115.5686 154.3114 136.4491 135.6945 129.1296 147.8589 159.8828 157.2737
32.40992 58.91284 41.56236 79.32263 66.33626 88.42531 17.90251 5.738467 102.8724 3.162278 107.0105 0 115.8501 24.26226 61.83243 64.78726 67.10067 139.3379 112.3018 64.48643 145.8607 161.0265 85.31413 87.84646 163.8231 166.1168 112.54 127.6307 123.1757 169.9687 139.773 145.1594 168.134
99.56216 69.25657 156.9761 44.42031 56.57959 33.56309 107.5976 118.5655 17.33413 112.9436 13.50926 115.8501 0 125.2332 170.4259 169.2281 171.9106 41.26257 167.7456 162.8627 52.01476 78.89164 166.2752 165.9345 93.04555 104.319 152.8676 131.6115 131.364 118.5587 142.4544 154.8709 149.2959
