0 150.4846 109.4718 155.3556 160.167 175.374
150.4846 0 153.0222 160.1143 144.2545 128.4733
109.4718 153.0222 0 48.55877 61.19155 88.24181
155.3556 160.1143 48.55877 0 22.21215 53.96492
160.167 144.2545 61.19155 22.21215 0 31.85588
175.374 128.4733 88.24181 53.96492 31.85588 0
0 150.4846 109.4718 155.3556 160.167 175.374
150.4846 0 153.0222 160.1143 144.2545 128.4733
109.4718 153.0222 0 48.55877 61.19155 88.24181
155.3556 160.1143 48.55877 0 22.21215 53.96492
160.167 144.2545 61.19155 22.21215 0 31.85588
175.374 128.4733 88.24181 53.96492 31.85588 0
0 150.4846 109.4718 155.3556 160.167 175.374
150.4846 0 153.0222 160.1143 144.2545 128.4733
109.4718 153.0222 0 48.55877 61.19155 88.24181
155.3556 160.1143 48.55877 0 22.21215 53.96492
160.167 144.2545 61.19155 22.21215 0 31.85588
175.374 128.4733 88.24181 53.96492 31.85588 0
0 150.4846 109.4718 155.3556 160.167 175.374
150.4846 0 153.0222 160.1143 144.2545 128.4733
109.4718 153.0222 0 48.55877 61.19155 88.24181
155.3556 160.1143 48.55877 0 22.21215 53.96492
160.167 144.2545 61.19155 22.21215 0 31.85588
175.374 128.4733 88.24181 53.96492 31.85588 0
0 150.4846 109.4718 155.3556 160.167 175.374
150.4846 0 153.0222 160.1143 144.2545 128.4733
109.4718 153.0222 0 48.55877 61.19155 88.24181
155.3556 160.1143 48.55877 0 22.21215 53.96492
160.167 144.2545 61.19155 22.21215 0 31.85588
175.374 128.4733 88.24181 53.96492 31.85588 0
0 150.4846 109.4718 155.3556 160.167 175.374
150.4846 0 153.0222 160.1143 144.2545 128.4733
109.4718 153.0222 0 48.55877 61.19155 88.24181
155.3556 160.1143 48.55877 0 22.21215 53.96492
160.167 144.2545 61.19155 22.21215 0 31.85588
175.374 128.4733 88.24181 53.96492 31.85588 0
