0 141.6611 135.0799 136.6297 133.8177
141.6611 0 13.96281 11.01136 94.76286
135.0799 13.96281 0 2.968164 80.89351
136.6297 11.01136 2.968164 0 83.7929
133.8177 94.76286 80.89351 83.7929 0
0 141.6611 135.0799 136.6297 133.8177
141.6611 0 13.96281 11.01136 94.76286
135.0799 13.96281 0 2.968164 80.89351
136.6297 11.01136 2.968164 0 83.7929
133.8177 94.76286 80.89351 83.7929 0
0 141.6611 135.0799 136.6297 133.8177
141.6611 0 13.96281 11.01136 94.76286
135.0799 13.96281 0 2.968164 80.89351
136.6297 11.01136 2.968164 0 83.7929
133.8177 94.76286 80.89351 83.7929 0
0 141.6611 135.0799 136.6297 133.8177
141.6611 0 13.96281 11.01136 94.76286
135.0799 13.96281 0 2.968164 80.89351
136.6297 11.01136 2.968164 0 83.7929
133.8177 94.76286 80.89351 83.7929 0
0 141.6611 135.0799 136.6297 133.8177
141.6611 0 13.96281 11.01136 94.76286
135.0799 13.96281 0 2.968164 80.89351
136.6297 11.01136 2.968164 0 83.7929
133.8177 94.76286 80.89351 83.7929 0
0 141.6611 135.0799 136.6297 133.8177
141.6611 0 13.96281 11.01136 94.76286
135.0799 13.96281 0 2.968164 80.89351
136.6297 11.01136 2.968164 0 83.7929
133.8177 94.76286 80.89351 83.7929 0
