0 30.75403 64.2767 107.5395 106.6936 96.73552 60.87401 56.00483 104.1114 55.50299 103.0427 102.4356 84.67035 82.89188 83.01658 115.0991 99.86097 79.05455 95.44094 142.9264 182.5015 141.1189 104.283 120.1226 114.7721 129.3139 135.9238 137.7904 168.2255 136.7639 129.984 167.9621 142.4544 155.4335 172.6707 176.9046 189.517 213.4591 217.224 186.0845 198.0764
30.75403 0 91.89337 133.3642 132.8768 127.065 89.31965 84.69357 131.3868 84.97058 130.6484 130.292 113.4637 111.9545 112.3076 143.668 101.3469 81.4324 93.74433 172.9655 210.4541 171.5707 111.6288 121.8031 120.6241 130.6847 138.4783 138.7552 198.9774 140.6494 136.5561 198.7159 146.067 162.6169 184.3857 190.0658 204.4736 243.0741 246.5644 209.0598 224.5106
64.2767 91.89337 0 43.99133 42.83451 43.05919 5.783823 10.01877 39.83899 14.35239 38.86058 38.41182 22.64251 22.0579 23.29623 51.95774 148.1405 129.1339 147.5601 84.15482 158.3447 85.52466 144.4216 166.109 155.7361 174.9028 179.4333 183.248 117.7679 178.3642 168.2429 118.3131 183.9836 190.4644 198.1524 199.1148 206.8916 177.3445 182.8972 181.9459 180.0595
107.5395 133.3642 43.99133 0 2.692582 47.42376 48.6621 53.60037 11.42366 56.51548 14.31782 16.55295 31.62278 34.6208 36.40055 25.73908 190.3299 171.9757 190.5203 61.60002 165.7524 68.83676 184.7079 207.4657 195.9511 216.015 219.8887 224.1986 103.5857 218.2733 207.3457 105.119 223.765 227.9444 231.7101 231.2336 236.5382 173.2888 180.1 201.2461 190.4127
106.6936 132.8768 42.83451 2.692582 0 44.75191 47.32071 52.29006 8.732125 55.01136 11.6297 13.86542 29.41513 32.40447 34.12111 23.43608 188.5566 170.3169 188.8763 59.60967 163.0993 66.59767 182.7218 205.5778 193.9523 214.0964 217.9015 222.2594 101.3817 216.2371 205.249 102.8798 221.7156 225.7283 229.3 228.7712 234.0003 170.8545 177.638 198.563 187.7398
96.73552 127.065 43.05919 47.42376 44.75191 0 42.00439 45.1834 36.06966 43.0753 33.15431 30.92364 23.81101 22.50494 20.55542 30.81828 158.0274 142.239 160.6227 46.52221 121.0825 44.58295 148.5398 172.7713 159.3799 180.6476 183.2382 188.3676 75.00204 180.7583 168.8537 75.41753 185.961 187.1669 187.6486 186.3427 190.5137 135.4349 141.3685 153.8659 144.8005
60.87401 89.31965 5.783823 48.6621 47.32071 42.00439 0 5 43.57178 8.602325 42.29657 41.59327 24.16609 22.87794 23.60085 54.3921 142.7047 123.8355 142.3025 85.00919 154.6728 85.57161 138.7552 160.5553 150.0687 169.3237 173.7924 177.6542 117.0043 172.6825 162.5143 117.4138 178.2951 184.6912 192.4005 193.4037 201.2764 174.8971 180.2776 177.0537 176.0028
56.00483 84.69357 10.01877 53.60037 52.29006 45.1834 5 0 48.56439 5.385165 47.26521 46.52956 28.79236 27.28369 27.78489 59.14812 138.1221 119.1301 137.5682 89.10142 155.1848 89.23284 134.5288 156.1185 145.8435 164.9257 169.5065 173.2801 120.1041 168.4911 158.4694 120.4201 174.1211 180.8902 189.202 190.4206 198.6429 176.6182 181.8378 175.9346 176.0454
104.1114 131.3868 39.83899 11.42366 8.732125 36.06966 43.57178 48.56439 0 50.56184 2.915476 5.147815 22.7706 25.64566 27.06474 17 182.7457 164.9004 183.4898 53.79417 154.5597 59.77458 176.2172 199.3803 187.399 207.7932 211.3731 215.8854 94.58594 209.5501 198.3702 95.95051 214.9834 218.4545 221.4037 220.7091 225.7017 163.1456 169.8249 189.8434 179.1159
55.50299 84.97058 14.35239 56.51548 55.01136 43.0753 8.602325 5.385165 50.56184 0 49 48.04165 29.42788 27.45542 27.51363 59.82057 134.3145 115.5982 134.1044 88.10824 150.4788 87.53571 130.173 152.0526 141.4856 160.7996 165.2241 169.1183 117.5925 164.0922 153.912 117.7964 169.702 176.1164 184.07 185.2053 193.3315 172.6992 177.792 170.6283 171.1052
