0 148.6842 108.4366 154.2604 136.1816 176.8542
148.6842 0 145.293 151.0997 22.06638 91.94804
108.4366 145.293 0 48.39171 123.521 108.4694
154.2604 151.0997 48.39171 0 129.4274 84.36697
136.1816 22.06638 123.521 129.4274 0 76.25287
176.8542 91.94804 108.4694 84.36697 76.25287 0
0 148.6842 108.4366 154.2604 136.1816 176.8542
148.6842 0 145.293 151.0997 22.06638 91.94804
108.4366 145.293 0 48.39171 123.521 108.4694
154.2604 151.0997 48.39171 0 129.4274 84.36697
136.1816 22.06638 123.521 129.4274 0 76.25287
176.8542 91.94804 108.4694 84.36697 76.25287 0
0 148.6842 108.4366 154.2604 136.1816 176.8542
148.6842 0 145.293 151.0997 22.06638 91.94804
108.4366 145.293 0 48.39171 123.521 108.4694
154.2604 151.0997 48.39171 0 129.4274 84.36697
136.1816 22.06638 123.521 129.4274 0 76.25287
176.8542 91.94804 108.4694 84.36697 76.25287 0
0 148.6842 108.4366 154.2604 136.1816 176.8542
148.6842 0 145.293 151.0997 22.06638 91.94804
108.4366 145.293 0 48.39171 123.521 108.4694
154.2604 151.0997 48.39171 0 129.4274 84.36697
136.1816 22.06638 123.521 129.4274 0 76.25287
176.8542 91.94804 108.4694 84.36697 76.25287 0
0 148.6842 108.4366 154.2604 136.1816 176.8542
148.6842 0 145.293 151.0997 22.06638 91.94804
108.4366 145.293 0 48.39171 123.521 108.4694
154.2604 151.0997 48.39171 0 129.4274 84.36697
136.1816 22.06638 123.521 129.4274 0 76.25287
176.8542 91.94804 108.4694 84.36697 76.25287 0
0 148.6842 108.4366 154.2604 136.1816 176.8542
148.6842 0 145.293 151.0997 22.06638 91.94804
108.4366 145.293 0 48.39171 123.521 108.4694
154.2604 151.0997 48.39171 0 129.4274 84.36697
136.1816 22.06638 123.521 129.4274 0 76.25287
176.8542 91.94804 108.4694 84.36697 76.25287 0
