0 151.4554 113.5126 138.2472 160.7477 127.6718 164.1965 179.4185
151.4554 0 152.9752 167.3473 158.6778 39.85397 143.2713 128.8188
113.5126 152.9752 0 24.97505 50.69372 158.6339 61.98387 88.65097
138.2472 167.3473 24.97505 0 33.20056 177.4331 50.64868 80.93304
160.7477 158.6778 50.69372 33.20056 0 175.9943 20.70695 51.27965
127.6718 39.85397 158.6339 177.4331 175.9943 0 163.9656 155.7119
164.1965 143.2713 61.98387 50.64868 20.70695 163.9656 0 30.83646
179.4185 128.8188 88.65097 80.93304 51.27965 155.7119 30.83646 0
0 151.4554 113.5126 138.2472 160.7477 127.6718 164.1965 179.4185
151.4554 0 152.9752 167.3473 158.6778 39.85397 143.2713 128.8188
113.5126 152.9752 0 24.97505 50.69372 158.6339 61.98387 88.65097
138.2472 167.3473 24.97505 0 33.20056 177.4331 50.64868 80.93304
160.7477 158.6778 50.69372 33.20056 0 175.9943 20.70695 51.27965
127.6718 39.85397 158.6339 177.4331 175.9943 0 163.9656 155.7119
164.1965 143.2713 61.98387 50.64868 20.70695 163.9656 0 30.83646
179.4185 128.8188 88.65097 80.93304 51.27965 155.7119 30.83646 0
0 151.4554 113.5126 138.2472 160.7477 127.6718 164.1965 179.4185
151.4554 0 152.9752 167.3473 158.6778 39.85397 143.2713 128.8188
113.5126 152.9752 0 24.97505 50.69372 158.6339 61.98387 88.65097
138.2472 167.3473 24.97505 0 33.20056 177.4331 50.64868 80.93304
160.7477 158.6778 50.69372 33.20056 0 175.9943 20.70695 51.27965
127.6718 39.85397 158.6339 177.4331 175.9943 0 163.9656 155.7119
164.1965 143.2713 61.98387 50.64868 20.70695 163.9656 0 30.83646
179.4185 128.8188 88.65097 80.93304 51.27965 155.7119 30.83646 0
0 151.4554 113.5126 138.2472 160.7477 127.6718 164.1965 179.4185
151.4554 0 152.9752 167.3473 158.6778 39.85397 143.2713 128.8188
113.5126 152.9752 0 24.97505 50.69372 158.6339 61.98387 88.65097
138.2472 167.3473 24.97505 0 33.20056 177.4331 50.64868 80.93304
160.7477 158.6778 50.69372 33.20056 0 175.9943 20.70695 51.27965
127.6718 39.85397 158.6339 177.4331 175.9943 0 163.9656 155.7119
164.1965 143.2713 61.98387 50.64868 20.70695 163.9656 0 30.83646
179.4185 128.8188 88.65097 80.93304 51.27965 155.7119 30.83646 0
0 151.4554 113.5126 138.2472 160.7477 127.6718 164.1965 179.4185
151.4554 0 152.9752 167.3473 158.6778 39.85397 143.2713 128.8188
113.5126 152.9752 0 24.97505 50.69372 158.6339 61.98387 88.65097
138.2472 167.3473 24.97505 0 33.20056 177.4331 50.64868 80.93304
160.7477 158.6778 50.69372 33.20056 0 175.9943 20.70695 51.27965
127.6718 39.85397 158.6339 177.4331 175.9943 0 163.9656 155.7119
164.1965 143.2713 61.98387 50.64868 20.70695 163.9656 0 30.83646
179.4185 128.8188 88.65097 80.93304 51.27965 155.7119 30.83646 0
0 151.4554 113.5126 138.2472 160.7477 127.6718 164.1965 179.4185
151.4554 0 152.9752 167.3473 158.6778 39.85397 143.2713 128.8188
113.5126 152.9752 0 24.97505 50.69372 158.6339 61.98387 88.65097
138.2472 167.3473 24.97505 0 33.20056 177.4331 50.64868 80.93304
160.7477 158.6778 50.69372 33.20056 0 175.9943 20.70695 51.27965
127.6718 39.85397 158.6339 177.4331 175.9943 0 163.9656 155.7119
164.1965 143.2713 61.98387 50.64868 20.70695 163.9656 0 30.83646
179.4185 128.8188 88.65097 80.93304 51.27965 155.7119 30.83646 0
