0 100.181 98.28765 123.7385 126.2277
100.181 0 5.574776 114.16 115.6125
98.28765 5.574776 0 108.5873 110.0435
123.7385 114.16 108.5873 0 2.5
126.2277 115.6125 110.0435 2.5 0
0 100.181 98.28765 123.7385 126.2277
100.181 0 5.574776 114.16 115.6125
98.28765 5.574776 0 108.5873 110.0435
123.7385 114.16 108.5873 0 2.5
126.2277 115.6125 110.0435 2.5 0
0 100.181 98.28765 123.7385 126.2277
100.181 0 5.574776 114.16 115.6125
98.28765 5.574776 0 108.5873 110.0435
123.7385 114.16 108.5873 0 2.5
126.2277 115.6125 110.0435 2.5 0
0 100.181 98.28765 123.7385 126.2277
100.181 0 5.574776 114.16 115.6125
98.28765 5.574776 0 108.5873 110.0435
123.7385 114.16 108.5873 0 2.5
126.2277 115.6125 110.0435 2.5 0
0 100.181 98.28765 123.7385 126.2277
100.181 0 5.574776 114.16 115.6125
98.28765 5.574776 0 108.5873 110.0435
123.7385 114.16 108.5873 0 2.5
126.2277 115.6125 110.0435 2.5 0
0 100.181 98.28765 123.7385 126.2277
100.181 0 5.574776 114.16 115.6125
98.28765 5.574776 0 108.5873 110.0435
123.7385 114.16 108.5873 0 2.5
126.2277 115.6125 110.0435 2.5 0
