0 64.69612 94.41398 136.9562 155.9106 162.5672 185.9673 61.03278 188.6352 182.363 64.07027 95.91382 66.56763 196.7587 67.36468 69.80419 198.88 73.02739 102.4287 78.12028 78.0114 88.61433 90.19978 92.08692 94.54447 105.1532 104.021 236.9484 101.8393 108.2869 109.1795 109.6586 215.9468 115.5206 115.9526 183.8172 255.4836 257.0992 168.6326 175.1114 260.8409 258.1182 264.0682 264.5043 266.7501 232.2434 235.3572 237.1919 264.2593 258.6959 263.8219
64.69612 0 62.91865 107.9216 125.6178 131.1649 153.3325 24.09954 156.4014 149.406 25.30131 47.69609 25.73678 163.019 29.75091 26.40976 162.9873 27.00872 44.08213 31.53296 29.06432 32.81365 33.33954 36.06522 34.6876 41.92069 39.59745 191.042 42.03519 46.86051 45.62938 47.29674 171.522 52.22974 52.34072 119.2816 203.7094 203.9374 108.2023 110.9938 205.7954 201.8522 206.4422 208.358 207.0792 168.5475 171.6253 173.5288 203.7635 196.0041 203.1141
94.41398 62.91865 0 46.01087 64.61252 70.77417 93.92768 86.49277 96.83104 90.11798 88.07383 25.04915 88.64677 104.3456 92.64988 89.25035 105.6409 89.49302 44.08579 93.36012 90.55999 89.74687 89.1852 91.92388 86.57214 59.12789 65.75987 142.6935 91.59676 91.84637 84.68654 89.80535 121.5936 90.02777 88.72993 134.4578 163.0341 165.4872 143.297 131.5523 170.658 169.2011 176.6352 175.324 182.3866 161.4466 164.5752 165.9217 181.5737 182.1467 181.604
136.9562 107.9216 46.01087 0 19.00292 25.61103 49.01582 131.856 51.72282 45.412 133.2216 62.80334 133.5824 59.80803 137.6118 133.8735 62.26684 133.7535 77.92924 137.1196 134.2042 131.5542 130.6331 133.1953 126.8472 93.11195 101.0156 106.2235 130.5508 129.0229 120.5634 126.2696 84.89994 124.5552 122.8739 150.6779 132.4156 136.6931 170.6357 151.4761 144.4414 145.2309 154.5979 150.627 164.2357 159.022 161.895 162.693 165.5295 172.7362 166.1114
155.9106 125.6178 64.61252 19.00292 0 6.822438 30.06889 149.6678 32.73165 26.55236 150.8944 79.28454 151.1303 40.92405 155.1605 151.25 43.82148 150.9452 92.6551 154.0512 151.0986 147.674 146.6155 149.082 142.4097 107.2495 115.308 90.3823 145.5629 143.3919 134.6094 140.4224 69.44382 138.0403 136.2563 156.7008 118.8113 123.8391 180.5993 158.9217 132.6046 134.3867 144.4305 139.3543 155.5935 157.2549 159.9514 160.4996 157.7797 167.7033 158.59
162.5672 131.1649 70.77417 25.61103 6.822438 0 23.41238 155.2489 26.17247 19.80934 156.3993 84.40234 156.5692 34.20244 160.5957 156.6005 36.99906 156.2031 96.99625 159.1777 156.2109 152.431 151.3126 153.732 146.9295 111.2859 119.373 84.00172 149.839 147.4024 138.5102 144.351 63.22728 141.7034 139.8835 157.4469 112.9942 118.2325 182.7621 160.1881 127.2862 129.3724 139.6048 134.1943 151.2291 155.2063 157.8323 158.2919 153.7004 164.5021 154.5834
185.9673 153.3325 93.92768 49.01582 30.06889 23.41238 0 177.43 3.153391 3.938947 178.4432 106.0193 178.4927 10.93394 182.5051 178.3597 15.41858 177.7871 117.0384 180.4981 177.5106 173.0146 171.7735 174.0833 167.0272 130.5505 138.6336 66.47611 169.3853 166.3562 157.2636 163.1327 47.71022 159.8776 157.9846 167.5904 98.44749 104.7465 196.7751 171.84 115.1349 118.6723 129.6263 122.7147 143.1515 156.193 158.528 158.6599 146.8127 161.0402 147.9908
61.03278 24.09954 86.49277 131.856 149.6678 155.2489 177.43 0 180.5 173.5029 3.162278 71.68166 5.59017 187.0962 7.81025 8.782084 187.0017 12 66.00648 17.15938 17.01307 28.25774 30.08322 31.57531 35.51417 60.07433 55.19203 213.9467 42.23596 49.35675 52.60566 51.47815 194.7563 58.13777 59.05929 127.4678 225.1835 224.9644 108.0067 117.5457 226.1042 221.6529 225.5296 228.1721 224.8985 182.2581 185.235 187.2565 220.9842 211.0665 220.1658
188.6352 156.4014 96.83104 51.72282 32.73165 26.17247 3.153391 180.5 0 7.071068 181.5248 109.1192 181.5833 8.845903 185.597 181.4611 14.47365 180.8985 120.1883 183.622 180.6351 176.1597 174.9207 177.2322 170.1787 133.7035 141.7865 65.92433 172.5386 169.5059 160.4116 166.2806 47.76243 163.0161 161.1218 170.3307 98.35956 104.8296 199.7465 174.6804 115.4158 119.1774 130.2167 123.0864 143.9944 158.1305 160.4314 160.528 147.8149 162.4636 149.031
182.363 149.406 90.11798 45.412 26.55236 19.80934 3.938947 173.5029 7.071068 0 174.5115 102.0824 174.558 14.39618 178.57 174.4223 17.82463 173.8484 113.1234 176.5598 173.5724 169.0895 167.8519 170.1654 163.1177 126.6706 134.7561 67.94638 165.4999 162.5011 153.4179 159.2867 48.54122 156.0681 154.1793 164.5416 99.30432 105.3862 193.3276 168.6246 115.5176 118.7697 129.6053 122.9766 142.796 154.3511 156.7331 156.9148 146.2472 159.9063 147.3745
64.07027 25.30131 88.07383 133.2216 150.8944 156.3993 178.4432 3.162278 181.5248 174.5115 0 72.53041 2.5 188.0239 5 5.755432 187.8131 9.055385 66.03555 14.06335 14.09886 25.62226 27.51363 28.86174 33.18518 59.39099 54.17158 214.0701 39.7202 46.94457 50.58109 49.1935 195.0282 55.9464 56.93856 125.2101 224.8383 224.5017 105.1453 115.1564 225.4684 220.9072 224.6352 227.4258 223.7687 180.5436 183.5048 185.5398 219.7544 209.512 218.9087
