0 95.60318 116.8898 74.62035
95.60318 0 55.18817 115.0962
116.8898 55.18817 0 97.67292
74.62035 115.0962 97.67292 0
0 95.60318 116.8898 74.62035
95.60318 0 55.18817 115.0962
116.8898 55.18817 0 97.67292
74.62035 115.0962 97.67292 0
0 95.60318 116.8898 74.62035
95.60318 0 55.18817 115.0962
116.8898 55.18817 0 97.67292
74.62035 115.0962 97.67292 0
0 95.60318 116.8898 74.62035
95.60318 0 55.18817 115.0962
116.8898 55.18817 0 97.67292
74.62035 115.0962 97.67292 0
0 95.60318 116.8898 74.62035
95.60318 0 55.18817 115.0962
116.8898 55.18817 0 97.67292
74.62035 115.0962 97.67292 0
0 95.60318 116.8898 74.62035
95.60318 0 55.18817 115.0962
116.8898 55.18817 0 97.67292
74.62035 115.0962 97.67292 0
