0 110.0514 40.29422 110.4882 73.24748 148.9853 134.6638 58.90921 57.42026 146.965 182.2589 60.19642 66.47648 151.3742 187.5597 163.762
110.0514 0 140.0133 29.35998 39.16702 80.67129 191.5457 165.7726 161.1236 90.42977 145.2847 155.6443 159.1819 173.8812 162.5937 188.3897
40.29422 140.0133 0 145.863 107.285 187.963 161.674 60.20809 65.37031 186.7096 222.4607 77.34599 84.35482 186.4124 227.2335 197.7984
110.4882 29.35998 145.863 0 38.71376 53.62612 170.0543 160.7364 154.5352 61.80419 116.1835 146.1457 148.5324 147.4723 133.2445 161.836
73.24748 39.16702 107.285 38.71376 0 86.84557 157.7187 127.1091 122.1417 90.51052 139.5496 116.4871 120.102 147.8525 152.6106 162.3763
148.9853 80.67129 187.963 53.62612 86.84557 0 164.178 188.7451 180.5847 15.23011 68.23263 168.1105 168.3348 126.2488 88.66243 138.9469
134.6638 191.5457 161.674 170.0543 157.7187 164.178 0 110.8453 101.5727 151.0117 140.0121 85.73482 79.09491 54.24503 127.6992 54.88972
58.90921 165.7726 60.20809 160.7364 127.1091 188.7451 110.8453 0 10.22772 182.7235 204.4185 27.57062 32.83122 147.398 203.2635 156.0361
57.42026 161.1236 65.37031 154.5352 122.1417 180.5847 101.5727 10.22772 0 174.1154 194.6423 17.35915 22.89558 137.2261 193.21 145.9817
146.965 90.42977 186.7096 61.80419 90.51052 15.23011 151.0117 182.7235 174.1154 0 55.37203 160.7224 160.3849 111.4844 74.72571 123.9888
182.2589 145.2847 222.4607 116.1835 139.5496 68.23263 140.0121 204.4185 194.6423 55.37203 0 178.6162 176.1308 88.39763 22.56931 96.07581
60.19642 155.6443 77.34599 146.1457 116.4871 168.1105 85.73482 27.57062 17.35915 160.7224 178.6162 0 7.017834 119.8807 176.4943 128.7632
66.47648 159.1819 84.35482 148.5324 120.102 168.3348 79.09491 32.83122 22.89558 160.3849 176.1308 7.017834 0 114.771 173.195 123.2141
151.3742 173.8812 186.4124 147.4723 147.8525 126.2488 54.24503 147.398 137.2261 111.4844 88.39763 119.8807 114.771 0 73.96835 14.57222
187.5597 162.5937 227.2335 133.2445 152.6106 88.66243 127.6992 203.2635 193.21 74.72571 22.56931 176.4943 173.195 73.96835 0 79.12855
163.762 188.3897 197.7984 161.836 162.3763 138.9469 54.88972 156.0361 145.9817 123.9888 96.07581 128.7632 123.2141 14.57222 79.12855 0
