87.71429 184
89.52941 146.7647
98.73004 216.6426
92.83333 191.3333
109.8148 128.2963
124.4155 99.36479
110 236
111.6667 116.6667
116 62
120.9667 245.6
135 66
143.7925 71.39623
143.5152 251.6667
151.5 78.5
154.45 74.85
172.7628 78.72628
152.3333 246.3333
164.9101 265.6854
160 87
173.8333 262
190.65 93.05
190.7222 266
199.6067 84.08989
196.6667 94.66667
197 263
198 92
201.2 262.2
229.9746 91.80024
223.0317 252.7778
225.2619 115.9286
224 132.5
225 130
226 125
226.5 128
226 173
230.6667 244.6667
230 248
233.6 175.2
239.2545 241.6727
245.6257 129.6784
250 139
261.6678 188.0712
